"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1997,1,1,0.140361589141189,0.0345014550924606,0.00484267906446139
1998,1,1,0.150247636058641,0.0337757795798837,0.00507473103791533
1999,1,1,0.145552974182487,0.0339054595643788,0.00493504048061928
2000,1,1,0.121947348064048,0.0339723657176743,0.00414283990673229
2001,1,1,0.180045596128008,0.0340401090345667,0.00612877172339078
2002,1,1,0.156304688858815,0.0339073443552518,0.00529987690947597
2003,1,1,0.169509289109039,0.0338612776055122,0.00573980109523414
2004,1,1,0.154439063976883,0.0337790410470471,0.00521680348134258
2005,1,1,0.184163443679817,0.0340133218925171,0.00626401049071637
2006,1,1,0.156545862899474,0.0339483719485601,0.00531447718071973
2007,1,1,0.162307948627296,0.0338897782259393,0.00550058038328623
2008,1,1,0.160352759107659,0.0340389438753093,0.00545823856751665
2009,1,1,0.160054592725393,0.0340502375488922,0.005449896903091
2010,1,1,0.156788760885355,0.0338150745164874,0.005301823632686
2011,1,1,0.184340474715565,0.0339511631700836,0.00625857353591872
2012,1,1,0.196719231871814,0.0338794677153894,0.0066647428651974
2013,1,1,0.149150044236915,0.0340806452870594,0.00508312975218747
2014,1,1,0.151113290199953,0.0340001729588352,0.00513787800317696
2015,1,1,0.129532207812527,0.0339368665372854,0.00439591724881373
2016,1,1,0.146987492769905,0.0349974382276384,0.00514418569845017
2017,1,1,0.161097550106826,0.0352339147793619,0.00567609735162746
2018,1,1,0.151816874294489,0.034807906425446,0.00528442755424628
2019,1,1,0.13999625996177,0.0368279319608779,0.00515577273664952
