year,Project_cde,landing_date,catch_date,tag_no,returned_by,comments,date
2006,NA,2006-10-03,2006-10-03,T-018011,Vessel,Personal Use set,2006-10-03
2020,NA,NA,NA,T-074113,Processor,NA,NA
2020,NA,NA,NA,T-108297,Processor,"project, gear unknown.",NA
2020,NA,NA,NA,T-103975,Processor,much info unknown,NA
2020,NA,NA,NA,T-082119,Processor,NA,NA
2020,NA,NA,NA,T-107104,Processor,"project, gear unknown.",NA
2020,NA,NA,NA,T-049985,Processor,NA,NA
2020,NA,NA,NA,T-105744,Processor,"project, gear unk.",NA
2020,NA,NA,NA,T-047387,Processor,NA,NA
2020,NA,NA,NA,T-089957,Processor,NA,NA
2020,NA,NA,NA,T-040533,Processor,tag info unknown,NA
2020,NA,NA,NA,T-074771,Processor,NA,NA
2020,NA,2020-09-15,NA,T-080563,Processor,NA,2020-09-15
2020,NA,NA,NA,T-088037,Processor,NA,NA
2020,NA,NA,NA,T-066954,Processor,NA,NA
2020,NA,NA,NA,T-077597,Processor,tag info unknown,NA
2020,NA,NA,NA,T-075176,Processor,NA,NA
2020,NA,NA,NA,T-074139,Processor,NA,NA
2020,NA,NA,NA,T-080061,Processor,NA,NA
