year,Project_cde,trip_no,date,julian_day,Stat,Mgmt_area,length,tag_no,tag_batch_no,release_condition_cde,discard_status,comments
2020,11,1,2020-05-11,132,345701,NA,6.3,T-104487,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.3,T-104488,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.6,T-104489,29,05,Retained; Bio. sample,Stuck in mesh
2020,11,1,2020-05-11,132,345701,NA,4.9,T-104490,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,7,T-104491,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.3,T-104492,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6,T-104493,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.3,T-104494,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.1,T-104495,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.5,T-104496,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.2,T-104497,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6,T-104498,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.3,T-104499,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5,T-104500,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104501,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.2,T-104502,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.2,T-104503,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6,T-104504,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.7,T-104505,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5,T-104506,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.9,T-104507,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.7,T-104508,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.4,T-104509,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.5,T-104510,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,7.1,T-104511,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.8,T-104512,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.7,T-104513,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,7.1,T-104514,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104515,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104516,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.1,T-104517,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104518,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.5,T-104519,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,7,T-104520,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104521,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.1,T-104522,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,4.9,T-104523,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.1,T-104524,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,7.6,T-104525,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.3,T-104526,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104527,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.4,T-104528,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,7.1,T-104529,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6,T-104530,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104531,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.8,T-104532,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.8,T-104533,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.8,T-104534,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104535,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.7,T-104536,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,8.1,T-104537,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.2,T-104538,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.4,T-104539,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.1,T-104540,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.9,T-104541,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.2,T-104542,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.6,T-104543,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.1,T-104544,29,05,Retained; Bio. sample,NA
2020,11,1,2020-05-11,132,345701,NA,5.9,T-104545,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.2,T-104546,29,05,Retained; Bio. sample,NA
2020,11,1,2020-05-11,132,345701,NA,5.6,T-104547,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.2,T-104548,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.1,T-104549,29,05,Retained; Bio. sample,NA
2020,11,1,2020-05-11,132,345701,NA,4.9,T-104550,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,7.3,T-104551,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.6,T-104552,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.7,T-104553,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6,T-104554,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.5,T-104555,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,5.9,T-104556,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.2,T-104557,29,05,Retained,NA
2020,11,1,2020-05-11,132,345701,NA,6.3,T-104558,29,05,Retained,NA
