year,mean,median,q025,q975
1980,43076297.738824174,43176784.71823716,37804818.7178554,47741540.19275106
1981,44509262.12848565,44577953.982974485,39919894.34546531,48819687.65159128
1982,45580772.83191897,45601688.098508164,41544728.49420129,49457047.68210317
1983,46198496.1036911,46251774.80210062,42590651.51635413,49677068.378282696
1984,46426529.86177574,46454590.46010529,43314441.290868446,49489938.45834517
1985,45451124.039468236,45439054.70355444,42726612.35478461,48119816.04966208
1986,43348277.37952511,43330860.99308096,41065696.77549596,45646062.7004679
1987,40839431.35613212,40831630.92376803,38894092.7762395,42744747.19002866
1988,38018157.31018205,38010589.498518765,36339223.000579536,39716664.88508972
1989,35120236.89068347,35100918.79869018,33650481.300827585,36590161.61778739
1990,32346073.33104429,32334639.330685165,31020947.886273056,33642455.07784434
1991,29479066.391990885,29472498.535022132,28320616.45610399,30637213.000009052
1992,26480870.351261478,26471738.694552064,25474445.723648425,27516048.89807386
1993,23130188.83453664,23125337.968102116,22235750.817554124,24042518.166267876
1994,20134402.7118262,20124634.292097457,19326894.792631157,20974654.427416783
1995,17892954.64707112,17896268.268446717,17133734.55173325,18650967.789284237
1996,15931066.934536617,15927069.003913864,15210387.960903635,16675293.27692025
1997,14706934.576315109,14700812.864057496,13902591.18392641,15548210.552188313
1998,14199545.005217744,14194899.02347161,13427384.22370406,14971331.141166782
1999,13710180.535406832,13715835.490998026,13073698.957186816,14345856.565625496
2000,13076194.597249983,13073273.044059018,12500134.398960596,13648612.769128175
2001,12779562.74823272,12778018.643744431,12196411.007152168,13400380.387487726
2002,13210531.081219986,13212483.792847525,12689226.15242354,13739309.38008749
2003,12848568.364612037,12847360.953949474,12373460.07810833,13320588.39718306
2004,12316530.567328399,12313811.010222625,11853246.744002521,12780484.48721178
2005,11883887.332181415,11882595.896998756,11439232.348765822,12328329.402959937
2006,11354357.287305977,11353059.71410233,10925354.507617464,11790641.158948852
2007,10959433.533206785,10958402.970179435,10514187.82482606,11408542.102885291
2008,10777156.611210275,10775447.537664533,10343422.85551628,11214370.501531083
2009,10693733.86604152,10692928.423402376,10289371.511924844,11122672.61817436
2010,10407220.269446066,10405696.672081852,10008436.961376049,10819283.487419594
2011,10183569.048197174,10177134.07018302,9752360.910691524,10622880.013099289
2012,10223032.960136084,10222266.133762281,9729412.872139765,10719538.915313011
2013,10457762.427917957,10453438.282782722,9911797.146527749,11019145.045960153
2014,10941412.953583552,10886361.87906965,10104652.17759123,12111252.573404942
2015,20901786.02191297,20909932.025980607,16421198.586618394,25465833.21418359
2016,22502797.303557366,22467548.182928793,17705197.618661102,27588758.22628476
2017,23633122.10659123,23563748.767466396,18411858.373461366,29181859.9194994
2018,24386533.08742077,24318099.62107858,18926292.980189707,30207772.18459493
2019,25203071.71796345,25123822.425123356,19404765.488439683,31366281.882012207
