year,mean,median,q025,q975
1980,2337825.111805329,1347635.3857659022,343193.67695472285,13103460.905709384
1981,1908706.340610112,1384556.3488501834,341499.6468458755,6494832.860676707
1982,1939224.7486242594,1462868.8808360256,368986.94086087757,6020477.867701695
1983,1828405.5806232577,1393434.500249689,364362.7310990321,5586705.23297154
1984,1778221.285450057,1408285.0927988172,381730.19917578367,5202430.090355809
1985,1620036.0027624774,1291071.018536609,372963.01195716235,4590532.361515632
1986,1423356.360253791,1142296.5220244634,341280.98799804354,4025162.4704263457
1987,1159156.4516307176,934290.4219381553,314058.31395913777,3203763.2441223334
1988,859407.4997151545,692094.3819311401,252483.9676205983,2344940.850741169
1989,689422.5146973097,549303.3992672043,208460.39490563012,1870628.6161442727
1990,575262.2893662541,460759.82043918845,181090.127053551,1568220.922246523
1991,533926.9627204197,424123.70772566064,169883.36397779864,1449896.573943241
1992,528670.6686083811,422783.82118701923,168334.61852200134,1420541.4653216854
1993,551154.3909260313,437672.5968934806,181202.64777818648,1487690.172865535
1994,746409.8517205081,597053.3755678337,236620.11450950318,2003823.6467929694
1995,1184988.19696353,945992.3260836172,389474.3422987736,3211754.371056581
1996,1257900.4450515208,1019363.1478466707,365222.53526493855,3416845.0799189475
1997,1920155.4639211185,1553510.9289416939,562571.0301341983,5221593.097346967
1998,2456010.845022028,1965166.3773787897,780941.7757244501,6509110.9119029
1999,1616024.2408085691,1305982.296944546,467822.4729833942,4378337.764759923
2000,1054472.3910052143,842949.7695685419,313717.3447305236,2885882.0320824455
2001,1192980.5868647797,965464.0875124498,358460.03671779076,3203920.439060406
2002,1930224.7810693723,1493142.0173913036,729741.6437263072,5167201.986690264
2003,888210.2189162048,711813.1500097712,274777.42503699695,2394791.4681816553
2004,815164.0587614155,650294.2815984412,266077.9285592477,2228081.9119341914
2005,946697.5115022903,752376.5660141412,332992.9303534237,2481312.4373394595
2006,789544.6539375959,635944.9936868303,265666.7568594682,2122551.9979780237
2007,795338.2416228367,634622.6132992835,272107.5005298211,2117902.2833862826
2008,978768.301204595,775028.0948537975,345242.00171860534,2579661.3006166117
2009,946716.9940757733,744663.170132559,335703.27775421314,2534796.6272775787
2010,573945.3524920465,460605.955248632,199593.63823386648,1535981.424981425
2011,608330.3396984352,484870.61003024445,205849.06614498125,1658894.0213799158
2012,969878.2301602234,767749.9254566585,330707.71316696476,2601895.7413831763
2013,1219763.8613267804,980720.1825553945,386731.55915425014,3276508.629270574
2014,1416260.0506811016,1143242.0513471314,342328.65091401426,4074045.2313491716
2015,13183035.31556371,10267396.927896116,4780786.645658834,35117830.56983915
2016,1667652.4901241045,1249987.684808154,330847.6400965445,5257617.17022718
2017,1352472.5866257325,1054807.3674779977,310453.5969617166,4089901.0489010173
2018,1252815.960233639,981291.7118457116,306146.56368947326,3693838.714399486
