year,mean,median,q025,q975
1980,0.4233165845993803,0.4225061256246486,0.36961669296778865,0.47957568135724443
1981,0.45294052407353896,0.4521107500678785,0.40207057125550477,0.5089685978083617
1982,0.5613554988595784,0.5619092602177078,0.5099324916055166,0.607545359181529
1983,0.6636917441639768,0.6645795881657273,0.6093494904372478,0.7117301190315862
1984,0.7575984705806404,0.7585747693914094,0.6978495542529767,0.813050898208369
1985,0.8304415379481116,0.8312751677166641,0.759539038158863,0.8955334604824781
1986,0.8089060365803217,0.808835863496586,0.7523034019158941,0.8662595834285394
1987,0.7682981151467465,0.7678592883462552,0.7189616446460209,0.8200692305859244
1988,0.7231251168292264,0.722557762501278,0.6784752390302582,0.7710356372416816
1989,0.6777933463142419,0.677447206141482,0.6357675810580293,0.7233840743197762
1990,0.6343640055049246,0.6336480262459641,0.594958412944124,0.6777361971689149
1991,0.5845719528539244,0.5839488831344577,0.5468687603371984,0.6255553191276528
1992,0.5279394156893206,0.5273619169163846,0.49182571064994807,0.5660102539439041
1993,0.4581165857988818,0.4575932026693247,0.4261082763472218,0.4924812524237221
1994,0.3916008620745525,0.3909820169047278,0.36339826053188645,0.42271698965645205
1995,0.6668865080317096,0.66671182346498,0.6311833544582324,0.7053954529317742
1996,0.5506249189237326,0.5502950091120683,0.5214013342408805,0.5819561024330422
1997,0.4435727603270256,0.4434659924701478,0.41965348312455925,0.46882214750073403
1998,0.35246465738570126,0.35231254581345806,0.3328992833460489,0.3730367029051525
1999,0.30266800030332774,0.3024872200270683,0.2852854833282886,0.3204569213565565
2000,0.2768548070026121,0.2766869584912727,0.26045016160468315,0.2938516161485279
2001,0.2802298172931241,0.2800767351194221,0.26319285762022465,0.29840630544292357
2002,0.30984613264581023,0.3097302480205597,0.2919571702065302,0.32819009851707764
2003,0.3342886512998268,0.33428126191382046,0.3155529571784218,0.3533906794840068
2004,0.3321706652506695,0.33208461973707865,0.31443754288391906,0.3500821349271214
2005,0.32352016629253755,0.3236147178026294,0.3065633828781821,0.3403230677074727
2006,0.3280781162878511,0.32794042315406624,0.3126550949705874,0.3437608485246611
2007,0.3340107724496027,0.3339018407760343,0.31822465115560855,0.3506589616277167
2008,0.32467308552783464,0.32456156617658294,0.3095622733841102,0.3405986405532321
2009,0.3191759984294523,0.3190885583220771,0.3050433686376769,0.3341914527898509
2010,0.31635470232057794,0.3162148615964509,0.30186470276479815,0.3312085160434572
2011,0.3142312790311519,0.31420121280171964,0.29998367473185433,0.32950598507464174
2012,0.31408435400024176,0.314061170746869,0.3000632063767704,0.32911533687419314
2013,0.31496302498221534,0.31492070015521745,0.30064612763097326,0.33010536671743
2014,0.3121104802133808,0.31194323093169907,0.29781593825939867,0.32729202523612944
2015,0.3053684474392622,0.30523435210398686,0.29094816090877723,0.3207560770787877
2016,0.30763908424400505,0.3076135145406509,0.2921246723484964,0.3235277430893124
2017,0.3239912911488679,0.32385820230093415,0.3067780313793667,0.3417945685679901
2018,0.37672990843266635,0.37660610205093487,0.3547972050891566,0.3993379226526137
