year,mean,median,q025,q975
1980,5545852.15106687,5531588.4423492905,4726394.1058682,6477228.900977634
1981,6205801.839931474,6181439.586203202,5360811.691801991,7171452.697352874
1982,8353950.733171711,8381682.945699975,7091189.986932509,9366750.683665337
1983,9952964.99155141,9977467.56691942,8687011.91090939,11060329.465400536
1984,11338155.430175636,11362335.655291436,10005909.819635376,12571580.41118112
1985,12330962.84109978,12356289.00592583,10901542.122752834,13666403.469448935
1986,11648523.978711998,11650965.210351778,10553005.928461108,12711159.92700582
1987,10750815.336552832,10756559.839021994,9896680.04848637,11585141.483416667
1988,9882164.352431746,9883215.398598023,9192860.2660828,10554973.799680825
1989,9081364.328358853,9079418.743485805,8528371.204536824,9638870.131669503
1990,8352220.46836844,8351788.88076259,7890254.580303008,8806331.90746756
1991,7572827.715408737,7572765.025773155,7198188.836048413,7953493.8351495955
1992,6737138.788895568,6737505.106883618,6424351.734699572,7064033.686311353
1993,5769434.1979218675,5767459.871361286,5503574.747105684,6040196.950740127
1994,4877691.440159158,4876439.136659021,4650541.906855571,5108493.591781149
1995,4077294.07446249,4076358.6271954463,3872741.0171139142,4289492.271072736
1996,3353522.2865746007,3351148.3222524226,3177433.2026445707,3535231.823552734
1997,2713774.2422136166,2714044.406483266,2560880.950220255,2867511.8281571288
1998,2201817.5503278766,2201699.0778085594,2064468.86528054,2340333.3843045
1999,1975396.962062391,1974908.4350228305,1842303.5442397427,2110543.049801523
2000,1910496.9596507265,1908941.1631315954,1771248.7204329157,2058655.2606183647
2001,2051307.413999444,2050133.315642391,1896774.8763729734,2209389.2240232667
2002,2373645.9891579924,2371723.4613344283,2213478.0048043616,2538357.093486039
2003,2593639.885337834,2592840.873019726,2428368.0003073784,2764288.613075915
2004,2553284.73928337,2552848.724076376,2403639.9395661904,2712253.3393147793
2005,2464384.5345885935,2462546.5391230197,2331415.4791475367,2605017.568441335
2006,2504639.6175252656,2504072.0219438104,2386405.762647924,2626470.3558669705
2007,2530566.7977050906,2531078.2230934724,2406146.6367454273,2656935.736721024
2008,2415652.973277997,2415589.4231477543,2300765.2692513955,2534822.124757415
2009,2342051.8562315768,2341347.668963674,2232246.9324359996,2454881.6313651055
2010,2294956.9844731824,2294555.3169520274,2183073.9307745937,2410858.9472190365
2011,2256911.486353851,2256130.921327869,2141578.494456226,2377909.8104540706
2012,2246677.6914834455,2246369.393243146,2135130.6224391814,2361318.103864271
2013,2247907.1016234276,2246467.059846771,2139608.6677229134,2362388.7673470303
2014,2206339.7640189272,2206099.920455742,2093905.6444497998,2325375.323273509
2015,2134951.521771121,2133888.395315928,2020672.498132007,2254241.420518033
2016,2154114.502179522,2153993.474302196,2030914.4627935444,2279521.6541937804
2017,2308980.136670809,2308781.9134231503,2174367.6336913193,2441875.673983214
2018,2830143.6369529176,2829108.324175578,2650707.504757149,3015910.1931834538
2019,4968872.9216594435,4966347.625090311,3989469.245147692,6014555.161698835
