year,mean,median,q025,q975
1980,18931786.54957833,18888753.396531336,16100515.176311342,22016321.345618956
1981,20256659.078724213,20210492.566050574,17444761.456686378,23349604.75448121
1982,25107723.86216574,25128836.49602322,21926043.631030846,28145751.842372797
1983,29681912.849107753,29705065.658508245,26197555.287196565,32927174.22337689
1984,33877279.9428774,33914276.95715268,30093037.778585307,37421038.55251801
1985,37131403.62794818,37182322.43077538,32961869.509051852,41013322.180008836
1986,36161155.696822636,36159078.64663595,32799779.55104061,39507797.12719321
1987,34339953.26886637,34340430.87798956,31545348.153952558,37143911.26753742
1988,32316219.497934114,32316282.751019962,29962240.57200604,34721871.966078125
1989,30286101.90455116,30279584.971834954,28302461.329532128,32289433.8884035
1990,28341675.0641007,28333503.21350281,26678399.2562198,30017457.109168164
1991,26114276.84283037,26102208.282063868,24712349.389390588,27511707.046498794
1992,23582184.51660859,23572435.87139631,22386477.44006872,24771606.397452246
1993,20461931.72165007,20461930.456067435,19472580.45289035,21473976.117056247
1994,17490096.63932218,17485567.552916706,16626066.854409512,18363507.909256656
1995,14753774.751153154,14750545.926782154,14013558.991431184,15509640.873846356
1996,12182107.54412695,12178397.95721614,11555256.890667623,12837520.035943126
1997,9814080.330830004,9813037.612300478,9274629.761752423,10370772.92048641
1998,7798693.087472399,7797746.1266238075,7330504.548081033,8270723.2369504785
1999,6697062.050878478,6698121.041325094,6276005.770653466,7118757.98115481
2000,6125984.884226867,6123232.602062916,5713094.4876991445,6541718.000798234
2001,6200680.354445036,6200785.98264187,5777397.0566942105,6636150.971908427
2002,6855928.8898378275,6851531.534455154,6419360.874257436,7307709.367062545
2003,7396678.102711584,7394210.506417589,6946659.627475409,7855589.258421463
2004,7349672.266041879,7347676.757680055,6928167.773415437,7779597.574611197
2005,7158076.659514541,7154307.226045597,6774642.037192898,7549027.211721099
2006,7258664.030393068,7256658.193946926,6916566.994841834,7614579.048543443
2007,7389800.89931627,7392740.282892139,7045249.159278002,7735022.22239462
2008,7183293.665661869,7181366.640755651,6857137.401134635,7520061.969228303
2009,7061699.772729825,7058614.261666773,6745131.372244212,7387350.672594311
2010,6999319.110702511,6997560.294918483,6676383.860092262,7334503.639031078
2011,6952399.8743051505,6948936.86020656,6625009.196819317,7285692.411905882
2012,6949092.143495068,6946188.819019757,6627265.206168779,7277570.333082629
2013,6968528.6923130825,6965582.728221798,6654798.053586519,7295600.0148380045
2014,6905510.005900809,6905842.264426526,6579766.041606096,7244174.555094478
2015,6756376.499570859,6753577.087786894,6421596.339623444,7096393.931897186
2016,6806553.778830426,6804936.602813684,6461033.7079361845,7162003.422960216
2017,7168146.128867044,7167777.037557392,6795595.017151377,7543043.291118043
2018,8334752.740709922,8331575.272487624,7878852.235892046,8812181.414230268
2019,13371528.70530828,13363982.195497207,11173039.853152107,15729487.151684588
