year,mean,median,q025,q975
1980,11539062.534055648,11515917.723589774,9856478.551241014,13381017.488765102
1981,12137174.233535035,12117985.274601236,10509452.239635197,13911738.597285245
1982,13708495.888326649,13685150.784875533,12087530.579340732,15437134.895047653
1983,16080550.349635342,16084087.89608206,14284506.471177688,17851236.859684397
1984,18771843.84870833,18795760.342985194,16637512.995798148,20721841.827304922
1985,20569643.33368097,20583751.63678126,18464307.89068327,22621866.255280938
1986,20715068.45566689,20708571.622079223,18804535.94881532,22648696.1215745
1987,20070602.292599443,20058788.95974826,18375461.066906665,21818542.33923578
1988,19097372.284654263,19096921.529050414,17629614.596936416,20627389.55987227
1989,17919978.782780204,17916398.15785323,16653749.77446146,19216890.519501593
1990,16797567.60374747,16792464.951359384,15714671.99838287,17909179.28167455
1991,15611634.943234958,15605371.329704884,14693835.868433965,16546690.418264229
1992,14250533.033372242,14245497.364305243,13461105.819765817,15052682.515585713
1993,12643673.439811014,12639856.055818003,11972049.077096306,13324520.929936416
1994,10752916.472291164,10749260.459566312,10184901.294870254,11331044.133812422
1995,9150998.216152502,9145303.887231367,8664200.53706131,9649650.420093345
1996,7658928.872550574,7655066.943707632,7251464.078222256,8082976.856141781
1997,6287072.631286514,6285150.174142023,5947175.4084518785,6642777.96147091
1998,5095915.394360401,5094278.950754195,4813920.935662937,5392557.793650386
1999,4206421.599732259,4205448.560834438,3971034.587031049,4447102.9099615505
2000,3825792.004623604,3825210.983927669,3617616.113601526,4035919.6429622257
2001,3668113.21402106,3667328.8351346757,3469168.294359869,3865263.5719545046
2002,3802604.198465647,3801749.5593403243,3608279.227487166,4001085.3383858027
2003,3958789.699919933,3959056.73456046,3760766.602656868,4159291.272875315
2004,4036284.4789724024,4035153.636764425,3840455.6030003126,4236580.907459151
2005,4011765.4069942688,4010996.883636022,3827835.2133698086,4202797.393508039
2006,3984412.2031701985,3984581.201167303,3811574.610158266,4162465.761255455
2007,3946023.915530083,3945972.958416405,3782642.370403194,4113603.0213850997
2008,3932978.6247967007,3932259.0175849088,3770124.5593868117,4099254.8102221647
2009,3866884.537375711,3866766.222434682,3704827.7453918424,4031377.572626814
2010,3859326.383440181,3858376.3261384815,3698092.402624313,4022122.175392161
2011,3855642.96623535,3854228.5156084197,3693786.3687649956,4018711.565480511
2012,3880987.1054477193,3880208.707622298,3718276.392232872,4045042.8366426956
2013,3868630.804124681,3867153.6322207227,3707789.1950563057,4034834.4441969027
2014,3848709.949002433,3846666.696856162,3682759.6437330698,4016783.072308193
2015,4015182.9840094657,4015709.1596645983,3825898.632797959,4205219.880421124
2016,4088530.47056204,4087207.8858600734,3900854.3105126824,4277998.82384657
2017,4552042.054108207,4550062.521298091,4301120.920907731,4806127.215446693
2018,5593162.3796026185,5587709.154517293,5051659.127346287,6166916.189933306
2019,7131524.839417032,7123069.237610091,6026267.051713288,8326660.666987891
