year,index,Fmort,pred_rec,biom,expl_biom,expl_abd,spawn_biom
1975,0,0.03486676668608896,0.9071409654821706,65.09626140710583,50.46692598768509,6.662944468531006,30.737001545874634
1976,1,0.035155508742105754,0.9326097753989664,63.39896458116864,49.40140233909574,6.528377904177494,30.007722654815787
1977,2,0.02056661242373274,0.9553390093094404,62.19575766985336,48.8122492180376,6.454043750127123,29.36625154324777
1978,3,0.029381373477313583,0.984678289544284,61.132785204994185,48.044812606472924,6.344372654829761,28.976833264746606
1979,4,0.04552947001448028,20.035631906697702,109.1859376920773,46.66029549286896,6.163617362080759,28.5525438307688
1980,5,0.034040077345117416,1.0007058093208852,112.11663828493832,45.68480071792517,6.082564963708425,28.748209451251242
1981,6,0.026503626203600843,1.0275831775660949,114.23620774990634,47.89711683298586,6.7150648599364375,29.713806306014845
1982,7,0.02794241570309016,1.0611968100413605,115.2264326690951,61.302946056790674,9.52166807903346,35.19471904038291
1983,8,0.034947724313589945,1.0541646127617983,114.65272409501105,72.89009565639282,11.36381834337588,40.41592178846163
1984,9,0.028679317260120026,1.04871039830535,112.989602998918,83.39618241343533,12.948107380531978,46.16296628512402
1985,10,0.04059548182064584,0.9842766300422517,109.79037538646328,93.19749628338799,14.316379957885085,50.18203987188218
1986,11,0.056256736310644866,0.8883473768448547,104.63141723418978,90.5650566509732,13.39452085880025,50.87553754363199
1987,12,0.05381593548851638,0.7580404047246865,98.55179640980587,85.5087646365155,12.209745051091167,49.12493604658081
1988,13,0.059398803468376955,0.6110200917028027,91.92012978199664,80.0804921859249,11.108893418953548,46.94191870287128
1989,14,0.056252316153533946,0.500631607297563,85.13927781893373,74.7497962480508,10.12617745824111,43.99335221054183
1990,15,0.052684681994193586,0.4261539609646274,78.64884275229876,69.72134781901156,9.256830044125179,41.20032073770676
1991,16,0.06707339714452863,0.3879033554685818,71.94214129152459,64.21834460378153,8.377978223903293,38.24865349437032
1992,17,0.07918038537794037,0.37496448136039157,64.93942420072293,58.16042522412964,7.471093553889544,35.037343771565816
1993,18,0.12144613167882724,0.39905862533290276,57.20335988026363,50.90644225615673,6.4542698001897865,31.28297026307474
1994,19,0.11432809643748813,0.5114121157114271,50.22266685872008,44.0442250250345,5.524488859163375,26.943475325594854
1995,20,0.12882517971468457,0.672869286447949,44.57559188027883,37.728743610626985,4.689828592114511,23.263391550789
1996,21,0.15302445821711527,0.7912757305579982,39.71179457418412,31.771442207408676,3.930637343756847,19.838435300007106
1997,22,0.18248574731399195,1.129016414168982,36.20319003691469,26.272184779932516,3.257430068930212,16.662285832040858
1998,23,0.2131503323725868,1.5073817628728652,34.33292442476066,21.53900517619844,2.7092254272315364,13.873291577620208
1999,24,0.1661394637115326,1.035644708608345,32.770826866496876,18.657810164178766,2.4164594571235933,11.74297109342118
2000,25,0.1880131305031219,0.6823868562462196,31.052455888584433,16.907279711901168,2.282683439979546,10.701577966276078
2001,26,0.14844092505975198,0.7745554882097797,30.113098959800592,16.547470186420448,2.3511523673852976,10.125664397008855
2002,27,0.14064446121846158,1.1430988047236181,30.5018167226136,17.434608938606704,2.5981951551947864,10.115207853081023
2003,28,0.13823377597068956,0.6608260793280727,29.73692447479473,18.24729285793907,2.7778950532235047,10.209134835509616
2004,29,0.15275532767132327,0.5926918293160685,28.60801733125401,17.94132438632535,2.7265348912795266,10.197519841299641
2005,30,0.14532990300316367,0.6610715093824129,27.65046487427761,17.339747648074642,2.6243927784581835,10.036236256670957
2006,31,0.1432954987964338,0.6060326002921986,26.640358703538183,17.272708665776904,2.627167018833196,9.835067964206571
2007,32,0.11013505856286603,0.564782413450614,25.821341715529204,17.400953333347267,2.6405222661746004,9.645313765709322
2008,33,0.1129112623818879,0.6066749812073419,25.254910595464324,17.01835782541023,2.552456023066728,9.580323843384027
2009,34,0.08406797804353773,0.6311991022776683,25.00245339255553,16.808058747189285,2.497075622510942,9.438501874136483
2010,35,0.08021262625874882,0.46037632142054224,24.50413513381828,16.752681102051245,2.4696859020398434,9.433422921195481
2011,36,0.06718152928083859,0.47513347299355957,24.134520682016337,16.72369689412774,2.445834014230985,9.437942971057952
2012,37,0.07627735134308934,0.6023754847688699,24.05742036326928,16.646143378648624,2.420508007567291,9.48096725438363
2013,38,0.07499081412573586,0.9369902964638999,24.823994225662037,16.580406949115464,2.402427414350162,9.42069125551562
2014,39,0.061530812488247114,1.22429121250304,26.554767857126294,16.47377959173861,2.370203595554171,9.382989562787653
2015,40,0.061896685697080074,0.8506212689452601,27.513181863077314,16.253136561462316,2.3198953484654443,9.469827446184713
2016,41,0.050928064283371224,5.3960955605699334,40.394146604477214,16.353771316851173,2.335056627215177,9.737859560504166
2017,42,0.053166960510850694,1.1666515420467611,43.28748571732846,17.11970545874321,2.480233041043095,10.485538505310174
2018,43,0.059258689129142936,0.9815953268746159,45.29845908213891,18.593946395865537,2.756191977635452,11.437227923880391
2019,44,0.05721407427366829,0.8810508730884439,46.62805602097819,20.77299317131824,3.1631002579799032,13.452090693828039
2020,NA,NA,NA,47.90406316657931,27.339202694248968,4.403803882054586,15.464938981325357
