"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1997","Stratum_1"," [kg]",143.850035587718,4.5417899564992,0.0317719998411831
"1","1998","Stratum_1"," [kg]",154.168799302955,4.73490460985616,0.0309053279685243
"1","1999","Stratum_1"," [kg]",149.949160016027,4.69636292119821,0.0315157913557746
"1","2000","Stratum_1"," [kg]",125.145688876801,3.85791870284821,0.0310157020660094
"1","2001","Stratum_1"," [kg]",186.471634097443,5.8897608661486,0.0317845674943603
"1","2002","Stratum_1"," [kg]",160.761395374208,4.91616030926178,0.030769356722623
"1","2003","Stratum_1"," [kg]",172.827850960054,5.25987075556731,0.0306226709897879
"1","2004","Stratum_1"," [kg]",158.37692243378,4.83739292487457,0.0307320903391457
"1","2005","Stratum_1"," [kg]",188.935244564962,5.78052054015644,0.0307863264997022
"1","2006","Stratum_1"," [kg]",159.515655972909,4.88412110426986,0.0308096751582365
"1","2007","Stratum_1"," [kg]",167.34223245182,5.11719933546057,0.0307710774803861
"1","2008","Stratum_1"," [kg]",164.716397768749,5.14220905586532,0.031416869953363
"1","2009","Stratum_1"," [kg]",164.377443963018,5.05118196207134,0.0309225098570139
"1","2010","Stratum_1"," [kg]",160.99591896634,4.9219001064066,0.0307623829126343
"1","2011","Stratum_1"," [kg]",189.635537264243,5.89019878256597,0.0312543080820363
"1","2012","Stratum_1"," [kg]",201.563935403626,6.15337994330088,0.0307178037496312
"1","2013","Stratum_1"," [kg]",155.000183657987,4.84914718964236,0.0314839333759098
"1","2014","Stratum_1"," [kg]",155.569869134163,4.79037028030135,0.030984961594937
"1","2015","Stratum_1"," [kg]",134.335960971039,4.17571350051617,0.0312808907065622
"1","2016","Stratum_1"," [kg]",151.092990730979,4.77159175032366,0.0317816347563318
"1","2017","Stratum_1"," [kg]",167.61867497451,5.45888842434174,0.0327778432934093
"1","2018","Stratum_1"," [kg]",155.019180435932,5.1478447008614,0.0334274528100605
"1","2019","Stratum_1"," [kg]",140.394987206714,4.75322695995688,0.0340879385936358
"1","2020","Stratum_1"," [kg]",267.011844674435,8.46230723655878,0.0318919698173698
"1","2021","Stratum_1"," [kg]",252.449393933354,8.5855611915283,0.0342453249003183
