year,number_unmarked,number_marked,fully_observed,comments
2008,8944,16,Yes,"8/10/08-Tender offload first portion of survey- F/V Seaview, Charles T and Masonic"
2008,2514,4,Yes,8/12/08- F/V Masonic
2008,3821,20,Yes,8/12/08- Tender offload- F/V Seaview & Charles T
2010,7566,20,Yes,"8/4/2010- Tender offload first portion of survey- F/V Seaview, Ida June, and Masonic"
2010,2533,18,Yes,8/6/10- F/V Ida June
2010,3034,9,Yes,8/6/10- F/V Masonic
2010,1578,7,Yes,8/7/10- F/V Seaview
