"","year","exvessel_mil_usd"
"1",1985,2
"2",1986,2.9
"3",1987,3.5
"4",1988,4.5
"5",1989,2.9
"6",1990,3.5
"7",1991,6.9
"8",1992,4.9
"9",1993,5.6
"10",1994,9.1
"11",1995,7.7
"12",1996,9.9
"13",1997,11.6
"14",1998,7.4
"15",1999,6.6
"16",2000,7.4
"17",2001,4.6
"18",2002,4.8
"19",2003,4.8
"20",2004,4.5
"21",2005,5
"22",2006,5.1
"23",2007,3.8
"24",2008,4.9
"25",2009,3.6
"26",2010,4.4
"27",2011,4.9
"28",2012,3.6
"29",2013,2.9
"30",2014,3.2
"31",2015,3.4
"32",2016,3.2
"33",2017,3.9
"34",2018,3.5
"35",2019,3.1
"36",2020,2.232889
"37",2021,2.372527
