year,Fmort,retro
1975,0.04137087362867735,retro_0
1976,0.0419174161428826,retro_0
1977,0.024581122005064546,retro_0
1978,0.03470250721010268,retro_0
1979,0.052228378341334855,retro_0
1980,0.03573620644294876,retro_0
1981,0.024147176151466113,retro_0
1982,0.023935556264386725,retro_0
1983,0.030833478968830465,retro_0
1984,0.026756753659469053,retro_0
1985,0.0404673626898511,retro_0
1986,0.054184896025763804,retro_0
1987,0.0525165481784104,retro_0
1988,0.058536925859397286,retro_0
1989,0.05455982469801127,retro_0
1990,0.05098918971277382,retro_0
1991,0.06443282008398986,retro_0
1992,0.07552124621312503,retro_0
1993,0.11441985094841148,retro_0
1994,0.10604513826374777,retro_0
1995,0.11252946941595562,retro_0
1996,0.1309103709643212,retro_0
1997,0.15032138157137093,retro_0
1998,0.17109091180520614,retro_0
1999,0.1283797764996531,retro_0
2000,0.1410588499012195,retro_0
2001,0.10629556840650285,retro_0
2002,0.09965114418977723,retro_0
2003,0.09759277144767374,retro_0
2004,0.10466464460106138,retro_0
2005,0.09637390059411288,retro_0
2006,0.09512376095914735,retro_0
2007,0.0736040451487707,retro_0
2008,0.07551240973225343,retro_0
2009,0.05715920363757167,retro_0
2010,0.05532368142314296,retro_0
2011,0.04706021212717762,retro_0
2012,0.053798514606113096,retro_0
2013,0.05368848381287671,retro_0
2014,0.04449905655079468,retro_0
2015,0.04528924195594692,retro_0
2016,0.03763459051372605,retro_0
2017,0.03985479786106753,retro_0
2018,0.0456219578056717,retro_0
2019,0.04466909631410744,retro_0
2020,0.048796025726320275,retro_0
2021,0.04088137665340338,retro_0
2022,0.0389822951103069,retro_0
2023,0.03591085265818028,retro_0
1975,0.041196119895093405,retro_1
1976,0.04174175229921451,retro_1
1977,0.024481393014612083,retro_1
1978,0.03456984069957732,retro_1
1979,0.05204463250278145,retro_1
1980,0.03561974602367713,retro_1
1981,0.024071411020996473,retro_1
1982,0.023860989343605605,retro_1
1983,0.030738560011865215,retro_1
1984,0.026677620070467725,retro_1
1985,0.04034978887584653,retro_1
1986,0.054027925006916264,retro_1
1987,0.05237773630603967,retro_1
1988,0.05839309675862191,retro_1
1989,0.05443290974470572,retro_1
1990,0.05087581836800945,retro_1
1991,0.064284847648751,retro_1
1992,0.07533474355390658,retro_1
1993,0.11410463099908176,retro_1
1994,0.10571192326650253,retro_1
1995,0.11212914585938664,retro_1
1996,0.13039760650464774,retro_1
1997,0.14966368012301834,retro_1
1998,0.17025133493912303,retro_1
1999,0.12767576786688992,retro_1
2000,0.1402663569092361,retro_1
2001,0.10569465825644564,retro_1
2002,0.09912479770078801,retro_1
2003,0.0971266026402872,retro_1
2004,0.10420235979352208,retro_1
2005,0.09597626447333099,retro_1
2006,0.09474479046668952,retro_1
2007,0.07332954332997575,retro_1
2008,0.07524339129070544,retro_1
2009,0.056943860198996235,retro_1
2010,0.055121059402567424,retro_1
2011,0.04686930441167859,retro_1
2012,0.05352132817174858,retro_1
2013,0.05334956419642346,retro_1
2014,0.04419365128599337,retro_1
2015,0.04495442944932874,retro_1
2016,0.03732998209438574,retro_1
2017,0.0395062935802694,retro_1
2018,0.04520543994898891,retro_1
2019,0.044472582242934725,retro_1
2020,0.04801902969621443,retro_1
2021,0.04024894137102049,retro_1
2022,0.038937848470592326,retro_1
1975,0.04098463027208047,retro_2
1976,0.041527640573403954,retro_2
1977,0.024360532763774024,retro_2
1978,0.03441200545606997,retro_2
1979,0.05183578170926886,retro_2
1980,0.03548728675391912,retro_2
1981,0.023977650847223822,retro_2
1982,0.02375866008636062,retro_2
1983,0.03059954203137443,retro_2
1984,0.026558614314783038,retro_2
1985,0.04016730628209269,retro_2
1986,0.053777728114270784,retro_2
1987,0.05216334698092281,retro_2
1988,0.05817869125247177,retro_2
1989,0.054251124088297915,retro_2
1990,0.05072261332429766,retro_2
1991,0.06409308547335356,retro_2
1992,0.07510443773520034,retro_2
1993,0.11373924168351668,retro_2
1994,0.10534832098390357,retro_2
1995,0.11174167133600525,retro_2
1996,0.1299534806731092,retro_2
1997,0.14916052476251,retro_2
1998,0.16971857245335942,retro_2
1999,0.12726480586474598,retro_2
2000,0.13984559044579858,retro_2
2001,0.10536214329831066,retro_2
2002,0.09882756946497366,retro_2
2003,0.09686300430362696,retro_2
2004,0.10397353053728413,retro_2
2005,0.09575992634236834,retro_2
2006,0.09452906143488707,retro_2
2007,0.07311544768042856,retro_2
2008,0.07502003884607145,retro_2
2009,0.05672603817292238,retro_2
2010,0.054889147750948275,retro_2
2011,0.04662361333196608,retro_2
2012,0.053194739078091365,retro_2
2013,0.052945522251634076,retro_2
2014,0.043780932467285705,retro_2
2015,0.04445536317377562,retro_2
2016,0.03682561359075903,retro_2
2017,0.03883269034479213,retro_2
2018,0.044197733917904436,retro_2
2019,0.04320337261299887,retro_2
2020,0.04638994681477534,retro_2
2021,0.03887928473935101,retro_2
1975,0.041043721354163544,retro_3
1976,0.041599162596840586,retro_3
1977,0.0244123366057392,retro_3
1978,0.03450248733945018,retro_3
1979,0.05200759906766656,retro_3
1980,0.035612356556883835,retro_3
1981,0.024049438380108645,retro_3
1982,0.023810772389853997,retro_3
1983,0.030650396244974065,retro_3
1984,0.026599797332211763,retro_3
1985,0.04022287044809206,retro_3
1986,0.05384694445882621,retro_3
1987,0.05226593366040081,retro_3
1988,0.05832714780104853,retro_3
1989,0.05441801121561263,retro_3
1990,0.05090514299883263,retro_3
1991,0.06433887893275615,retro_3
1992,0.07541119854357335,retro_3
1993,0.11425055848198547,retro_3
1994,0.10588166771690805,retro_3
1995,0.11237791337621336,retro_3
1996,0.13076877361776124,retro_3
1997,0.15018266698850916,retro_3
1998,0.17100996988850942,retro_3
1999,0.12835931923094218,retro_3
2000,0.14110098079458175,retro_3
2001,0.10633004980005643,retro_3
2002,0.09971208613712655,retro_3
2003,0.09769668381547263,retro_3
2004,0.10485957801045827,retro_3
2005,0.09655124192634722,retro_3
2006,0.0953086261365601,retro_3
2007,0.0736831746350424,retro_3
2008,0.07560299758729848,retro_3
2009,0.057127211511715556,retro_3
2010,0.05524863646667561,retro_3
2011,0.0468709343868775,retro_3
2012,0.053421241246410324,retro_3
2013,0.0530799523567693,retro_3
2014,0.04378634541741738,retro_3
2015,0.044343731911181135,retro_3
2016,0.03661528638847043,retro_3
2017,0.038430288772382665,retro_3
2018,0.04353084922658663,retro_3
2019,0.04252865562407553,retro_3
2020,0.046112861603625516,retro_3
1975,0.04074863903727227,retro_4
1976,0.041316811363345814,retro_4
1977,0.024260778653156168,retro_4
1978,0.03431439434005517,retro_4
1979,0.05176958097452061,retro_4
1980,0.03547883302221127,retro_4
1981,0.023972856089051246,retro_4
1982,0.02374257508134024,retro_4
1983,0.030571000177019782,retro_4
1984,0.02654345709005346,retro_4
1985,0.040151534586287674,retro_4
1986,0.05377154605577419,retro_4
1987,0.052244851644257816,retro_4
1988,0.05835486079676128,retro_4
1989,0.05448941032598659,retro_4
1990,0.051008716754514793,retro_4
1991,0.06448326884447647,retro_4
1992,0.07558074686815948,retro_4
1993,0.1144904350183334,retro_4
1994,0.10610404744444722,retro_4
1995,0.11259616003383241,retro_4
1996,0.13104685441985475,retro_4
1997,0.1505343810147969,retro_4
1998,0.1714641109622389,retro_4
1999,0.128665228845353,retro_4
2000,0.14140089685887203,retro_4
2001,0.10647210743011101,retro_4
2002,0.0997696204409789,retro_4
2003,0.09770821810319566,retro_4
2004,0.10490908550845614,retro_4
2005,0.09657481219075327,retro_4
2006,0.0953214649161337,retro_4
2007,0.07360248314051125,retro_4
2008,0.07550787833123909,retro_4
2009,0.056986267286478494,retro_4
2010,0.055049638773183196,retro_4
2011,0.04661919818507394,retro_4
2012,0.05308105657324951,retro_4
2013,0.05262475897302094,retro_4
2014,0.04325373887954705,retro_4
2015,0.043628066893785046,retro_4
2016,0.03587257297417397,retro_4
2017,0.03743594591916885,retro_4
2018,0.042100209191456274,retro_4
2019,0.04118181362835043,retro_4
1975,0.04105495885884858,retro_5
1976,0.041633790966374366,retro_5
1977,0.024448514539487907,retro_5
1978,0.03457811169984082,retro_5
1979,0.05216312043933488,retro_5
1980,0.035737714772690735,retro_5
1981,0.024135066023394446,retro_5
1982,0.023890474933617487,retro_5
1983,0.030748922022321983,retro_5
