sigmaR,retro
0.5453729011046342,retro_0
0.5370654182721166,retro_1
0.5252627275184956,retro_2
0.4989642759815409,retro_3
0.5045850176786117,retro_4
0.5174105591442542,retro_5
0.5001047923430825,retro_6
0.4764485943821043,retro_7
0.4855364303459824,retro_8
0.47312783991119167,retro_9
0.4674465182060678,retro_10
