year,index,Fmort,biom,expl_biom,expl_abd,spawn_biom
1975,0,0.03476316372318405,67.35810611493153,44.986423872719094,5.542034694938265,32.12714136305789
1976,1,0.03502754011831454,66.10919303312444,44.03528853031669,5.437466804569936,31.415238321980805
1977,2,0.02047919902045512,65.42155012122326,43.511670904047186,5.381806436126892,30.799527506453664
1978,3,0.02900035668851367,111.46326033498605,43.77627789612868,5.59312484844829,32.632934183993655
1979,4,0.04399578428645283,114.35561680680823,44.2304240233345,5.843578145582075,32.295416536087764
1980,5,0.030893112478314524,116.86610930897557,46.974585611611985,6.520117921192645,34.8200260629158
1981,6,0.021757309308813824,119.9422814839727,52.09055685841211,7.482414860811208,38.99291128514753
1982,7,0.022478223856449382,122.23050254509828,58.56319863761493,8.507480510310108,43.479919517985785
1983,8,0.029891222393771993,122.3106445359579,64.62650799230248,9.300377789656572,47.835041045846765
1984,9,0.026326012796603435,120.55121851359623,69.97092544806921,9.906680593733958,51.73751706791388
1985,10,0.040304134850807444,116.83059778544774,73.98202309714317,10.239238756587884,55.20784716998491
1986,11,0.055619982256433005,111.04552904631565,75.01485604778085,10.139652109064096,54.62706599952657
1987,12,0.052417820036905344,104.42862240135071,74.71797902452332,9.890215940192164,52.69151878000899
1988,13,0.05826694419944764,97.38719057581639,72.20353198952989,9.35389749372402,50.3172223790718
1989,14,0.05487832118303359,90.31588806400215,68.54221312924086,8.690892508116088,47.373714619488496
1990,15,0.05082841886695478,83.72648416032908,65.11099461884562,8.105976470240375,44.398908514670744
1991,16,0.06435478320468613,77.16605346297885,60.871357655736304,7.455582894610183,41.32586869386428
1992,17,0.07565967914094796,70.50268933690569,55.87341654570269,6.748936792460135,37.79042306958096
1993,18,0.11515014615739423,62.97406040159781,49.4214278766817,5.902443245545751,33.9364242700153
1994,19,0.10713927518414701,55.87935980557341,43.51785548001905,5.160861579200652,29.55621856112401
1995,20,0.11406458027224252,50.26908486912936,39.7485151633681,4.803808862016359,25.934180145849087
1996,21,0.13240067702592764,45.34790095128396,34.42421296607455,4.16873828276691,22.608471443533134
1997,22,0.1514292590570585,41.51608824794897,29.629755398944845,3.6257981733630924,19.536359461166555
1998,23,0.17216352683414632,40.07322242314712,25.347349479734547,3.170041402588094,16.87867776085332
1999,24,0.12971024962020886,39.15865038632257,22.690226633376,2.937348653900665,14.7216065428478
2000,25,0.14213154244802956,39.01945144241545,21.152814615371774,2.8668591637797216,13.66984695618177
2001,26,0.10668233677463618,38.57596103747553,20.759287062406724,2.937296916268247,13.004545156944419
2002,27,0.09966276910439048,37.71819967251327,21.008558346856866,3.062863338497219,12.979838615805566
2003,28,0.09761499799862838,36.62121635199506,21.366063073504968,3.1575867213662807,13.152578640897303
2004,29,0.10498043439220266,35.30779661436458,21.47391461434213,3.175865249607073,13.314298855499471
2005,30,0.0971077830124029,34.082056727418355,21.339249419246975,3.1309619913575313,13.311265820123245
2006,31,0.09644640974064793,32.59597024022954,20.981801691896937,3.044614729632878,13.156486928818474
2007,32,0.07475551884297141,31.303107304904497,20.698578835695837,2.968736630834691,12.890425216056558
2008,33,0.07687843707945806,30.319263233061974,20.305355223745522,2.8791618312286453,12.672663263006713
2009,34,0.05825340973153523,30.9443021614309,19.97354878606574,2.803065379129446,12.423225899715563
2010,35,0.05631670334105979,30.601820326121157,19.720913753964815,2.7494014439929955,12.253007155330549
2011,36,0.047920560051091576,29.620405025705796,19.665689669771478,2.7391513529267573,12.146745933563793
2012,37,0.054909721776405324,28.70722514964064,19.611324166206558,2.7269492964606674,12.130771187015752
2013,38,0.05497348473981595,27.831467836507862,19.397749895655963,2.6795070747190817,11.992527417806926
2014,39,0.04554416943363342,27.543772551051045,19.121180877118256,2.6141774437665988,11.839920028230354
2015,40,0.046250738874295226,30.29277573144327,18.81007533258559,2.5534534885956686,11.872288996160082
2016,41,0.03838075710502448,33.0439328865876,18.713941473823528,2.5492288430645837,11.904052773185569
2017,42,0.04073392948980233,34.62682148848684,19.082506311914937,2.6538997594673095,12.078464241687206
2018,43,0.04678784213996721,49.51138864244029,20.005340573768468,2.8789084838104513,13.087282131106017
2019,44,0.046314264822988435,53.217102193936405,21.65078961929085,3.247944213883266,13.737218860392524
2020,45,0.050683688769857835,59.15623771212927,24.733578775727935,3.898936659906476,15.525191595566318
2021,46,0.04314290879567152,60.23282053028399,28.7970754425887,4.638172495933986,17.587980175217588
2022,47,0.042818650160460825,67.97958896892777,30.76755450523353,4.819836911634641,20.352647629022684
2023,48,0.040528085443251864,68.64931326212256,34.29705559722253,5.288717870088828,22.632299896618477
2024,49,0.03937541881127604,68.93709233038061,37.74760905452101,5.743595206794058,25.061715096822475
2025,NA,NA,70.23540530653682,41.02072437873209,6.1278851295415615,27.42397830529249
