year,mean,median,q025,q975
1980,5545730.652015039,5531433.979276629,4726154.858252603,6477553.444721328
1981,6205352.847115078,6181076.923461801,5360168.286611008,7171395.220781506
1982,8351957.071310823,8380967.33890784,7075398.074859771,9366190.347720327
1983,9951230.199057307,9976471.947169043,8678428.963189531,11060235.31770464
1984,11336405.329410437,11360893.92774899,10002947.686093016,12571199.509846779
1985,12329186.23578135,12353317.959999051,10898003.532765042,13665659.715219341
1986,11648140.47087485,11650752.094362494,10553973.300683478,12711033.21238432
1987,10750678.10916673,10755973.457487736,9896798.542304147,11584751.637081493
1988,9882040.101850566,9882877.92734234,9193006.699091217,10554717.185751624
1989,9081192.507693993,9079216.097492889,8528431.020053964,9638469.594075704
1990,8351992.397080616,8351501.113579242,7889952.186531457,8806292.083649958
1991,7572562.883574184,7572631.084571427,7198070.821867165,7953392.811195999
1992,6736913.276253698,6736918.919775387,6423805.782306598,7063410.814787455
1993,5769300.179572898,5767371.206440683,5503571.331240799,6040490.973976979
1994,4877598.066375967,4876372.10159092,4650628.259908706,5108532.927202638
1995,4077267.319682556,4076321.088698098,3872953.554459497,4289378.137892447
1996,3353551.3953130143,3351103.7550089704,3177436.4766500983,3535388.429302804
1997,2713812.9847104885,2713963.3504745737,2560923.1299372716,2867546.09668306
1998,2201866.562772622,2201797.133128134,2065036.0689777217,2340429.9394192956
1999,1975479.3817962953,1974985.9856045549,1842418.827318211,2110752.1770397513
2000,1910609.142843676,1909075.8141534152,1771390.123630201,2058469.826098546
2001,2051432.505388157,2050301.4543634919,1896851.2395748228,2209427.7140730117
2002,2373673.7706175204,2371766.0959681105,2213282.936526594,2538351.761085841
2003,2593633.565693687,2592863.369078831,2428317.780276057,2764348.9062671894
2004,2553353.63483066,2553031.067403742,2403533.5816719574,2712116.0769324563
2005,2464469.9929415993,2462687.79756971,2331432.5764587102,2604929.705668993
2006,2504694.544804156,2504086.733939045,2386407.4200384263,2626539.1045677625
2007,2530588.684189904,2531078.60900552,2405979.77502643,2657031.7482376723
2008,2415657.6871835003,2415554.19557101,2300663.26106582,2534670.3708839365
2009,2342006.6755605903,2341281.134064532,2231873.103885306,2454820.331040525
2010,2294865.453178302,2294534.1756307976,2182940.764010203,2410682.493952455
2011,2256831.1449243384,2256028.8464417174,2141384.4645055346,2377807.930770488
2012,2246628.6121367156,2246222.435062876,2135082.8768602307,2361331.150608858
2013,2247904.231096433,2246490.7509240536,2139566.4866950167,2362345.4682150017
2014,2206368.545210103,2206115.126242552,2093937.568203789,2325327.378250371
2015,2134957.893092685,2133824.660318346,2020686.3670301156,2254148.578909897
2016,2154075.4852560568,2153909.9111004556,2030883.4726798646,2279511.793322981
2017,2308984.862121894,2308800.721864658,2174399.8246664805,2441862.622506213
2018,2830155.271972963,2829178.518884047,2650769.5428341613,3015646.2178114383
2019,4968699.71225909,4965718.765012121,3989745.1936487975,6014319.15740408
