year,ABC,retro
1980,3.138810582242697,retro_0
1981,3.148673673672836,retro_0
1982,3.3616955343616532,retro_0
1983,4.461559793503444,retro_0
1984,5.442034572260457,retro_0
1985,5.6776863296679005,retro_0
1986,5.510883254499005,retro_0
1987,5.240247065638456,retro_0
1988,4.953476520056887,retro_0
1989,4.620745243710136,retro_0
1990,3.0004972326006603,retro_0
1991,2.8706870138823435,retro_0
1992,2.7044349725394925,retro_0
1993,2.5417287023245945,retro_0
1994,2.3356645390760513,retro_0
1995,2.1393690366922495,retro_0
1996,1.939807122028005,retro_0
1997,1.6723362382441538,retro_0
1998,1.4185632131171386,retro_0
1999,1.2014354822507087,retro_0
2000,1.096888669052974,retro_0
2001,1.03057452709256,retro_0
2002,1.0430868686300678,retro_0
2003,1.063665549760477,retro_0
2004,1.0557083445180044,retro_0
2005,1.0185246635799823,retro_0
2006,0.9997324831589337,retro_0
2007,0.9684377979739048,retro_0
2008,0.9279539971978253,retro_0
2009,0.8743611426817668,retro_0
2010,0.8519071762604037,retro_0
2011,0.8479056693368345,retro_0
2012,0.8488745627290056,retro_0
2013,0.8265495629948447,retro_0
2014,0.8223849813939117,retro_0
2015,0.8234399268611857,retro_0
2016,0.8276753079508372,retro_0
2017,0.8701159219745814,retro_0
2018,0.9492369194486967,retro_0
2019,1.062794252039043,retro_0
2020,1.3829110906179558,retro_0
1980,2.913179340880597,retro_1
1981,2.9230128601568572,retro_1
1982,3.144004764520972,retro_1
1983,4.303846566700282,retro_1
1984,5.345783731570863,retro_1
1985,5.6088378178241864,retro_1
1986,5.45785622058965,retro_1
1987,5.201713570830916,retro_1
1988,4.928758733068087,retro_1
1989,4.60920879809924,retro_1
1990,2.9256188076948573,retro_1
1991,2.8027697696460505,retro_1
1992,2.6416153710299723,retro_1
1993,2.4834670552791676,retro_1
1994,2.2836628072784255,retro_1
1995,2.0909255708975167,retro_1
1996,1.8947554164774125,retro_1
1997,1.6284743954967018,retro_1
1998,1.377727786928844,retro_1
1999,1.1657721112837198,retro_1
2000,1.0651621899589765,retro_1
2001,1.0028326431954326,retro_1
2002,1.0191987935124625,retro_1
2003,1.0433257764460941,retro_1
2004,1.0368863781509328,retro_1
2005,0.9998141127489154,retro_1
2006,0.9851378946638272,retro_1
2007,0.9568048440768443,retro_1
2008,0.9142768213949232,retro_1
2009,0.8609700598124834,retro_1
2010,0.8377379780190433,retro_1
2011,0.8321736245928496,retro_1
2012,0.8318498339137729,retro_1
2013,0.8059050072082931,retro_1
2014,0.8047784226742357,retro_1
2015,0.8055334278603982,retro_1
2016,0.8061673941933757,retro_1
2017,0.8440655863426724,retro_1
2018,1.0070859323769201,retro_1
2019,1.7417228840034713,retro_1
1980,2.971929676443133,retro_2
1981,2.981470513032132,retro_2
1982,3.201586350909412,retro_2
1983,4.355391833563884,retro_2
1984,5.38768207806412,retro_2
1985,5.640655697288308,retro_2
