age,weight_kg,waa
2,1.2227,srv
3,1.5193,srv
4,1.8442,srv
5,2.1513,srv
6,2.4259,srv
7,2.7564,srv
8,2.8578,srv
9,3.1441,srv
10,3.2724,srv
11,3.3201,srv
12,3.4933,srv
13,3.5483,srv
14,3.7428,srv
15,3.6643,srv
16,3.7791,srv
17,3.8832,srv
18,3.9871,srv
19,4.2222,srv
20,4.1974,srv
21,4.3148,srv
22,4.1714,srv
23,4.2839,srv
24,4.4708,srv
25,4.5012,srv
26,4.81,srv
