survey_scenarios,year,mgc,converged,ABC,Survey scenarios
bi_srv_1,2015,2.804010712182947e-4,1,1052154.7751149097,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19)"
bi_srv_2,2015,2.9376670437655794e-4,1,1113516.6326428223,"Biennial ('06, '08, '10, '12, '14, '16, '18)"
tri_srv_1,2015,5.605263320093146e-4,1,1156862.3403419117,"Triennial ('05, '08, '11, '14, '17)"
tri_srv_2,2015,1.7962276490957052e-4,1,1084103.7943439241,"Triennial ('06, '09, '12, '15, '18)"
bi_srv_1,2016,4.5961084165346833e-4,1,1263625.1345771803,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19)"
bi_srv_2,2016,2.3886222261210177e-4,1,1152961.1801150362,"Biennial ('06, '08, '10, '12, '14, '16, '18)"
tri_srv_1,2016,4.2011053178542257e-4,1,1312178.3219965831,"Triennial ('05, '08, '11, '14, '17)"
tri_srv_2,2016,4.4578440845938205e-4,1,1309098.8691767412,"Triennial ('06, '09, '12, '15, '18)"
bi_srv_1,2017,5.693352682536457e-4,1,1186753.526196208,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19)"
bi_srv_2,2017,1.4841500035256416e-4,1,1322786.5470674105,"Biennial ('06, '08, '10, '12, '14, '16, '18)"
tri_srv_1,2017,3.0657671524814134e-4,1,1203631.159421054,"Triennial ('05, '08, '11, '14, '17)"
tri_srv_2,2017,8.292267784402174e-4,1,1408220.915083668,"Triennial ('06, '09, '12, '15, '18)"
bi_srv_1,2018,4.490656717529018e-4,1,1365130.4228396828,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19)"
bi_srv_2,2018,9.608464766966418e-4,1,1374717.5383398395,"Biennial ('06, '08, '10, '12, '14, '16, '18)"
tri_srv_1,2018,4.2526831346889615e-4,1,1387929.8253495037,"Triennial ('05, '08, '11, '14, '17)"
tri_srv_2,2018,3.770749890380509e-4,1,1423766.4065370366,"Triennial ('06, '09, '12, '15, '18)"
bi_srv_1,2019,3.356311557944913e-4,1,1308722.275675013,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19)"
bi_srv_2,2019,2.6856375991846093e-4,1,1369085.2898949732,"Biennial ('06, '08, '10, '12, '14, '16, '18)"
tri_srv_1,2019,4.7405940630773635e-4,1,1331470.0882779972,"Triennial ('05, '08, '11, '14, '17)"
tri_srv_2,2019,4.4260961851683156e-4,1,1438118.4815920817,"Triennial ('06, '09, '12, '15, '18)"
