survey_scenarios,year,mgc,converged,ABC,Survey scenarios
bi_srv_1,2012,1.5178622247979945e-11,1,1664407.3465704457,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2012,6.183276113347347e-12,1,1672148.5297133203,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2012,6.47520412083713e-6,1,1932167.850638763,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2013,6.146498587877858e-11,1,1545642.3722894958,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2013,4.2700620817015533e-11,1,1729121.4030488087,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2013,1.0330184539941722e-5,1,1686685.6280089894,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2014,1.5138555015531407e-5,1,1579566.7347028872,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2014,1.3715750757370415e-11,1,1664091.0880434155,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2014,3.0721813981671175e-12,1,1732792.4087343977,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2015,2.5759810950987116e-11,1,1448755.2471428514,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2015,2.781497254744636e-12,1,1651815.4609754977,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2015,6.773704567197836e-6,1,1723278.0933743028,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2016,6.720905965346136e-5,1,1476229.3019840661,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2016,1.064786668963924e-5,1,1682064.9107372726,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2016,6.559939899841716e-6,1,1755753.1090219761,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2017,2.9764080089478284e-11,1,1444569.884972847,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2017,8.408024276818082e-11,1,1591510.9565302443,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2017,2.18720377904158e-5,1,1630514.9832331536,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2018,1.6948525916049562e-10,1,1494388.2617006302,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2018,1.4299672557172016e-11,1,1643456.0568284781,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2018,8.270695239787074e-11,1,1685829.2501471704,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2019,6.958908327692193e-5,1,1517748.4977363176,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2019,4.233974282286113e-12,1,1670431.9290058794,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2019,5.481504139481785e-12,1,1716008.484789683,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2020,6.538900816088766e-6,1,1682043.2458962994,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2020,7.667672052846797e-12,1,1764339.7216815855,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2020,3.473510386620138e-5,1,1906636.8360674437,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2021,2.7606361641119292e-11,1,1851447.1252904597,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2021,1.7617777918296773e-5,1,1959102.1426040828,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2021,3.2046587605805144e-11,1,2043148.4399784263,"Quadrennial ('05, '09, '13, '17, '21)"
bi_srv_1,2022,2.1313040525427693e-11,1,2059531.2476653806,"Biennial ('05, '07, '09, '11, '13, '15, '17, '19, '21)"
tri_srv_1,2022,2.2331148041843107e-10,1,2180256.90619446,"Triennial ('05, '08, '11, '14, '17, '20)"
quad_srv_1,2022,1.4343262921934219e-5,1,2264162.9052718277,"Quadrennial ('05, '09, '13, '17, '21)"
