Parameter,Estimate,se
fsh_logq,-17.824878006913696,0.04293807665632223
fsh_logq,-17.02027450854419,0.02561409564148688
srv_logq,-16.320026232607223,0.024211478665580936
mr_logq,-0.0472681975928414,0.009746218532768655
log_rbar,13.376170502992816,0.0776713682313538
log_rec_devs,0.28201873337555455,0.38859254665634524
log_rec_devs,0.3224985308190416,0.3963239913356143
log_rec_devs,0.3539700143967883,0.4003526990340753
log_rec_devs,0.35151503972586995,0.39445562274422735
log_rec_devs,0.3400285577210825,0.3860995459282907
log_rec_devs,0.2927340816308859,0.37165609044841375
log_rec_devs,0.22563800260126904,0.35612645541158405
log_rec_devs,0.11415529971010072,0.33705707259313084
log_rec_devs,-0.06246202855771684,0.31415907762401024
log_rec_devs,-0.24635946911977352,0.29474843768743236
log_rec_devs,-0.39376215900800243,0.2815720102955649
log_rec_devs,-0.4813218094277158,0.27292179356098745
log_rec_devs,-0.48631596276957034,0.2671767979484344
log_rec_devs,-0.40270664876529877,0.26824280172492143
log_rec_devs,-0.1382123024162956,0.27768056102372685
log_rec_devs,0.12516465658927162,0.28609064329751427
log_rec_devs,0.3084812346728988,0.30551381828570173
log_rec_devs,0.6102260757312976,0.3017849142087231
log_rec_devs,0.6333657891760761,0.3024232498584888
log_rec_devs,0.4892213556139758,0.28785860634980737
log_rec_devs,0.05091868969326588,0.28915978064096415
log_rec_devs,0.19148304228072993,0.2847979135279352
log_rec_devs,0.5736838834417644,0.24170229747722313
log_rec_devs,0.006261474639091001,0.2812928267668693
log_rec_devs,-0.0668431127894018,0.26603382118662994
log_rec_devs,0.04005868081799401,0.2593772749565168
log_rec_devs,-0.09498608706741049,0.26376611147244317
log_rec_devs,-0.1601380983412577,0.25892206441999344
log_rec_devs,-0.07296358331192211,0.2552191131316595
log_rec_devs,-0.0523513542643518,0.2502764569705344
log_rec_devs,-0.3553964698753628,0.25413168661891933
log_rec_devs,-0.37967246894703605,0.25573289137914884
log_rec_devs,-0.30338271374981346,0.2659990146422897
log_rec_devs,-0.17120643265469174,0.3108368232739835
log_rec_devs,2.4232981986374544,0.26338817047102436
log_rec_devs,0.47896618285505266,0.44257811872647934
log_rec_devs,0.29611786018132186,0.3892169275577392
log_rec_devs,0.18042405416989507,0.3662441851480816
log_rinit,13.92859809204916,0.11123273702877057
log_rinit_devs,2.8204174509172932,0.17575442031628674
log_rinit_devs,0.2574776327197053,0.3828592928507865
log_rinit_devs,0.14713835028331898,0.35955820195151106
log_rinit_devs,0.07232662900066997,0.34674656223042927
log_rinit_devs,0.01523550426639796,0.33836735308753485
log_rinit_devs,-0.028113748791104686,0.33258697205563126
log_rinit_devs,-0.026352145644578433,0.3329430052731713
log_rinit_devs,-0.01999342746307522,0.33391358646261393
log_rinit_devs,-0.012261032444195883,0.3350305674522465
log_rinit_devs,-0.004332710344711532,0.33614764933442715
log_rinit_devs,0.0017967510081153043,0.33699270728149416
log_rinit_devs,0.005752636929989379,0.33752835161637385
log_rinit_devs,0.008135394840196269,0.33786436958691146
log_rinit_devs,0.011517833564983091,0.3383419533613785
log_rinit_devs,0.01580016737830976,0.33895298270757745
log_rinit_devs,0.020634311618160504,0.33965048388978053
log_rinit_devs,0.025826563333045536,0.34040811924207587
log_rinit_devs,0.03130833336660988,0.34121743209850297
log_rinit_devs,0.03692315020905261,0.3420562314468506
log_rinit_devs,0.04255173671578784,0.34290698846948076
log_rinit_devs,0.048229628574498105,0.34377597917863284
log_rinit_devs,0.05374848838926789,0.34463022995149134
log_rinit_devs,0.0590442924317035,0.3454588503914663
log_rinit_devs,0.06412761265428119,0.3462627584183854
log_rinit_devs,0.06892830510569854,0.3470294793101343
log_rinit_devs,0.07355651172865683,0.3477760651119058
log_rinit_devs,0.07789713230414427,0.3484822351166896
log_rinit_devs,0.08197120239736465,0.349150320295475
log_sigma_r,-0.6856135248796961,0.0855664529600667
log_Fbar,-2.704327164196846,0.3634054399833887
log_F_devs,-2.021412104668539,0.37372386621053283
log_F_devs,-3.14217637666414,0.37184560396358357
log_F_devs,-2.8772426648914675,0.36803228440676894
log_F_devs,-3.128330573111822,0.3674222432156477
log_F_devs,-2.4764824220114834,0.3672679445775672
log_F_devs,-0.6394483916028219,0.36716104235613095
log_F_devs,-0.3018177772871815,0.36704362763096
log_F_devs,-0.29852078507341534,0.36697362698299785
log_F_devs,-0.15906858052412579,0.3669313968215606
log_F_devs,-0.1990051146741103,0.3669979849505595
log_F_devs,0.10800413789520599,0.3672122217476955
log_F_devs,0.3370261573691153,0.366979685527936
log_F_devs,0.49039736374665793,0.36677728842831325
log_F_devs,0.8844575407076152,0.3665225136434161
log_F_devs,0.7782594962173999,0.3663997885385857
log_F_devs,0.8664804880306964,0.3663903798429311
log_F_devs,0.9925441164918151,0.3663542737576805
log_F_devs,1.141894918383061,0.36631655062426616
log_F_devs,1.2660360964652675,0.3662768370839836
log_F_devs,0.9727112146561421,0.3664269611384913
log_F_devs,1.0540490955029016,0.36639106493643464
log_F_devs,0.7589601454531598,0.3664930325738148
log_F_devs,0.669933288557393,0.3665249041842216
log_F_devs,0.6527848879498384,0.36648747527077963
log_F_devs,0.7683490616812402,0.3664758877819794
log_F_devs,0.7305024999574649,0.36648415834609777
log_F_devs,0.7232851766700584,0.3663867751407602
log_F_devs,0.4859275111178189,0.3665427409850491
log_F_devs,0.5564707336379019,0.36666947586473614
log_F_devs,0.2974576366930538,0.3667434267105396
log_F_devs,0.27789209982808377,0.3667775912742409
log_F_devs,0.10757839479618704,0.36683519878677373
log_F_devs,0.2399192500688023,0.3668765519102583
log_F_devs,0.25184293615010456,0.36691907305521765
log_F_devs,0.05811969030007321,0.3669635383882147
log_F_devs,0.0697280477793807,0.3670606855842109
log_F_devs,-0.1216803711417808,0.36728519427457623
log_F_devs,-0.16761291846020168,0.3674674061556368
log_spr_Fxx,-2.0039860996306786,0.2899277130398667
log_spr_Fxx,-2.203105720364475,0.2746676181062663
log_spr_Fxx,-2.5817142748019335,0.26474896231067685
log_spr_Fxx,-2.9624605876252845,0.2775697553401866
log_spr_Fxx,-3.3799549697075206,0.31893655937050364
