age,prop_fem,prop_mature
2,0.5771354403244613,0.0284
3,0.576694062970464,0.1035
4,0.5763267363208897,0.1787
5,0.5761273256633334,0.3414
6,0.5761609673662753,0.5041
7,0.5763813816735334,0.6668
8,0.5765563504067149,0.8295
9,0.576249048211393,0.8992
10,0.5748866015521428,0.9403
11,0.5719038619770057,0.964
12,0.5669070822221672,0.9777
13,0.5597869983327043,0.9857
14,0.5507331758334522,0.9902
15,0.5401490129618813,0.9933
16,0.5285145947841661,0.9948
17,0.5162665913863382,0.9964
18,0.5037467918398009,0.9974
19,0.4912241248675193,0.998
20,0.47894991852590285,0.9984
21,0.4671917866485721,0.9987
22,0.4562143479259998,0.999
23,0.4462161473844395,0.9992
24,0.4372628937723082,0.9993
25,0.4292592681275646,0.9994
26,0.4219780080429221,0.9995
27,0.41513376641066213,0.9995
28,0.4084688405984514,0.9996
29,0.4018163395799559,0.9996
30,0.39511984976792996,0.9997
31,0.38840678831712494,0.9997
