age,Sex,round_kg,Source,Age
2,Combined,1.9923027623237264,LL fishery,2
3,Combined,2.234010038695895,LL fishery,3
4,Combined,2.4660945809508665,LL fishery,4
5,Combined,2.686797983103234,LL fishery,5
6,Combined,2.8949801914591373,LL fishery,6
7,Combined,3.0900033429013685,LL fishery,7
8,Combined,3.271627785586595,LL fishery,8
9,Combined,3.439921936599966,LL fishery,9
10,Combined,3.595186040490463,LL fishery,10
11,Combined,3.737888985561388,LL fishery,11
12,Combined,3.868616871444732,LL fishery,12
13,Combined,3.988031838484307,LL fishery,13
14,Combined,4.096839656933911,LL fishery,14
15,Combined,4.195764659185671,LL fishery,15
16,Combined,4.2855307339155235,LL fishery,16
17,Combined,4.366847257245834,LL fishery,17
18,Combined,4.440398994517152,LL fishery,18
19,Combined,4.506839156495878,LL fishery,19
20,Combined,4.566784930312272,LL fishery,20
21,Combined,4.6208149258031535,LL fishery,21
22,Combined,4.669468081860425,LL fishery,22
23,Combined,4.713243665630465,LL fishery,23
24,Combined,4.752602071342723,LL fishery,24
25,Combined,4.787966186803268,LL fishery,25
26,Combined,4.819723145858595,LL fishery,26
27,Combined,4.848226326035847,LL fishery,27
28,Combined,4.873797483581681,LL fishery,28
29,Combined,4.8967289445734785,LL fishery,29
30,Combined,4.917285791811327,LL fishery,30
31,Combined,4.935708003799751,LL fishery,31+
2,Female,2.172064713906543,LL fishery,2
3,Female,2.392527939826118,LL fishery,3
4,Female,2.6119332236307713,LL fishery,4
5,Female,2.829051701136836,LL fishery,5
6,Female,3.0428315804405384,LL fishery,6
7,Female,3.2523861769726232,LL fishery,7
8,Female,3.456980690689359,LL fishery,8
9,Female,3.656018432363,LL fishery,9
10,Female,3.849027017212111,LL fishery,10
11,Female,4.035644896442276,LL fishery,11
12,Female,4.215608482635266,LL fishery,12
13,Female,4.388740036748088,LL fishery,13
14,Female,4.554936417385934,LL fishery,14
15,Female,4.71415874262337,LL fishery,15
16,Female,4.866422977427273,LL fishery,16
17,Female,5.011791432829091,LL fishery,17
18,Female,5.15036514411138,LL fishery,18
19,Female,5.282277082580829,LL fishery,19
20,Female,5.407686147537179,LL fishery,20
21,Female,5.526771880656895,LL fishery,21
22,Female,5.639729843278705,LL fishery,22
23,Female,5.7467675972886,LL fishery,23
24,Female,5.848101231895961,LL fishery,24
25,Female,5.943952381137495,LL fishery,25
26,Female,6.03454568010999,LL fishery,26
27,Female,6.120106611464412,LL fishery,27
28,Female,6.200859697403592,LL fishery,28
29,Female,6.277026996174535,LL fishery,29
30,Female,6.348826865733414,LL fishery,30
31,Female,6.416472960816216,LL fishery,31+
2,Male,2.010304815636447,LL fishery,2
3,Male,2.141217772083076,LL fishery,3
4,Male,2.2657188065177523,LL fishery,4
5,Male,2.383635883359114,LL fishery,5
6,Male,2.4949128130558917,LL fishery,6
7,Male,2.599586971891221,LL fishery,7
8,Male,2.6977699382454388,LL fishery,8
9,Male,2.7896308736649624,LL fishery,9
10,Male,2.875382421012429,LL fishery,10
11,Male,2.955268866074714,LL fishery,11
12,Male,3.029556303271715,LL fishery,12
13,Male,3.098524553378989,LL fishery,13
14,Male,3.162460596384676,LL fishery,14
15,Male,3.221653302211997,LL fishery,15
16,Male,3.276389263633262,LL fishery,16
17,Male,3.3269495576653325,LL fishery,17
18,Male,3.3736072830302217,LL fishery,18
19,Male,3.4166257412558902,LL fishery,19
20,Male,3.4562571473329013,LL fishery,20
21,Male,3.4927417723781313,LL fishery,21
22,Male,3.526307435462605,LL fishery,22
23,Male,3.5571692746952244,LL fishery,23
24,Male,3.585529738926912,LL fishery,24
25,Male,3.61157875118723,LL fishery,25
26,Male,3.635494003336904,LL fishery,26
27,Male,3.657441348565612,LL fishery,27
28,Male,3.677575264430518,LL fishery,28
29,Male,3.696039364254238,LL fishery,29
30,Male,3.7129669390065985,LL fishery,30
31,Male,3.728481515396077,LL fishery,31+
2,Combined,1.2579820224932756,LL survey,2
3,Combined,1.545113048728092,LL survey,3
4,Combined,1.8274783130606935,LL survey,4
5,Combined,2.0990116848320417,LL survey,5
6,Combined,2.3555832764391056,LL survey,6
7,Combined,2.594642362960211,LL survey,7
8,Combined,2.8148709875188893,LL survey,8
9,Combined,3.0158768929900615,LL survey,9
10,Combined,3.197936057747204,LL survey,10
11,Combined,3.3617851910363488,LL survey,11
12,Combined,3.508459657787887,LL survey,12
13,Combined,3.6391703259451345,LL survey,13
14,Combined,3.755212456255701,LL survey,14
15,Combined,3.857900200942981,LL survey,15
16,Combined,3.948521085986057,LL survey,16
17,Combined,4.028305765051165,LL survey,17
18,Combined,4.0984092160341445,LL survey,18
19,Combined,4.159900339893107,LL survey,19
20,Combined,4.213757592975863,LL survey,20
21,Combined,4.260868837451306,LL survey,21
22,Combined,4.302034039742602,LL survey,22
23,Combined,4.337969798533313,LL survey,23
24,Combined,4.369314957415766,LL survey,24
25,Combined,4.396636767121947,LL survey,25
26,Combined,4.420437221353838,LL survey,26
27,Combined,4.441159309373971,LL survey,27
28,Combined,4.45919301666498,LL survey,28
29,Combined,4.474880969320938,LL survey,29
30,Combined,4.488523664105556,LL survey,30
31,Combined,4.500384258775656,LL survey,31+
2,Female,1.353489174954927,LL survey,2
3,Female,1.6340452803087566,LL survey,3
4,Female,1.9203977270464268,LL survey,4
5,Female,2.207914807940482,LL survey,5
6,Female,2.492734954291205,LL survey,6
7,Female,2.7717305992152617,LL survey,7
8,Female,3.042445526637404,LL survey,8
9,Female,3.303019223704934,LL survey,9
10,Female,3.5521071592186884,LL survey,10
11,Female,3.788802653636153,LL survey,11
12,Female,4.012563732627498,LL survey,12
13,Female,4.223146797587706,LL survey,13
14,Female,4.420547902243611,LL survey,14
15,Female,4.604951746045201,LL survey,15
16,Female,4.77668807349247,LL survey,16
17,Female,4.936194924735472,LL survey,17
18,Female,5.0839880596174165,LL survey,18
19,Female,5.220635834053483,LL survey,19
20,Female,5.346738815462652,LL survey,20
21,Female,5.462913462818152,LL survey,21
22,Female,5.569779252970272,LL survey,22
23,Female,5.667948698950649,LL survey,23
24,Female,5.758019771920414,LL survey,24
25,Female,5.840570302457488,LL survey,25
26,Female,5.9161539967315475,LL survey,26
27,Female,5.985297757593498,LL survey,27
28,Female,6.04850004922246,LL survey,28
29,Female,6.106230086698965,LL survey,29
30,Female,6.158927668962618,LL survey,30
31,Female,6.207003505482964,LL survey,31+
2,Male,1.259082125931552,LL survey,2
3,Male,1.4794249879028027,LL survey,3
4,Male,1.6902462502092606,LL survey,4
5,Male,1.888622821450916,LL survey,5
6,Male,2.072818010805385,LL survey,6
7,Male,2.242008485995468,LL survey,7
8,Male,2.3960476908836568,LL survey,8
9,Male,2.535270662306098,LL survey,9
10,Male,2.660338702181265,LL survey,10
11,Male,2.7721193612709993,LL survey,11
12,Male,2.871596154379217,LL survey,12
13,Male,2.959802437901615,LL survey,13
14,Male,3.0377744003598393,LL survey,14
15,Male,3.1065188368913117,LL survey,15
16,Male,3.1669921316339806,LL survey,16
17,Male,3.220087572713022,LL survey,17
18,Male,3.266628736361793,LL survey,18
19,Male,3.3073671895797796,LL survey,19
20,Male,3.3429831785777164,LL survey,20
21,Male,3.3740883034856353,LL survey,21
22,Male,3.401229441050015,LL survey,22
23,Male,3.424893378951235,LL survey,23
24,Male,3.445511779437658,LL survey,24
25,Male,3.4634662061368964,LL survey,25
26,Male,3.4790930344602256,LL survey,26
27,Male,3.4926881297133603,LL survey,27
28,Male,3.5045112232617788,LL survey,28
29,Male,3.5147899501230992,LL survey,29
30,Male,3.523723534483473,LL survey,30
31,Male,3.5314861254123455,LL survey,31+
2,Combined,1.928154423820493,Pot fishery,2
3,Combined,2.0994511986923405,Pot fishery,3
4,Combined,2.26195788897725,Pot fishery,4
5,Combined,2.4151144728006195,Pot fishery,5
6,Combined,2.5586455714304877,Pot fishery,6
7,Combined,2.692501363588398,Pot fishery,7
8,Combined,2.816806657215958,Pot fishery,8
9,Combined,2.931817855866577,Pot fishery,9
10,Combined,3.0378872112586612,Pot fishery,10
11,Combined,3.1354335852242463,Pot fishery,11
12,Combined,3.224918889143423,Pot fishery,12
13,Combined,3.306829383150567,Pot fishery,13
14,Combined,3.381661071455115,Pot fishery,14
15,Combined,3.449908504580025,Pot fishery,15
16,Combined,3.5120563816637467,Pot fishery,16
17,Combined,3.5685734284233344,Pot fishery,17
18,Combined,3.619908104370318,Pot fishery,18
19,Combined,3.666485763968157,Pot fishery,19
20,Combined,3.708706959562232,Pot fishery,20
21,Combined,3.746946628909189,Pot fishery,21
22,Combined,3.781553957310721,Pot fishery,22
23,Combined,3.812852744333486,Pot fishery,23
24,Combined,3.841142138623867,Pot fishery,24
25,Combined,3.8666976321950934,Pot fishery,25
26,Combined,3.889772228546956,Pot fishery,26
27,Combined,3.910597717794912,Pot fishery,27
28,Combined,3.929386007285379,Pot fishery,28
29,Combined,3.9463304685321807,Pot fishery,29
30,Combined,3.961607271224062,Pot fishery,30
31,Combined,3.9753766829529154,Pot fishery,31+
2,Female,2.044025089250536,Pot fishery,2
3,Female,2.2048634722946305,Pot fishery,3
4,Female,2.3640756902545914,Pot fishery,4
5,Female,2.5210710876384685,Pot fishery,5
6,Female,2.67534234766084,Pot fishery,6
7,Female,2.826459538063592,Pot fishery,7
8,Female,2.97406393258844,Pot fishery,8
9,Female,3.117861794780782,Pot fishery,9
10,Female,3.2576182633837103,Pot fishery,10
11,Female,3.3931514406197536,Pot fishery,11
12,Female,3.524326754477052,Pot fishery,12
13,Female,3.651051642310696,Pot fishery,13
14,Female,3.7732705844664447,Pot fishery,14
15,Female,3.89096050225803,Pot fishery,15
16,Female,4.004126523673543,Pot fishery,16
17,Female,4.112798111983707,Pot fishery,17
18,Female,4.217025546425831,Pot fishery,18
19,Female,4.316876739891355,Pot fishery,19
20,Female,4.41243437568295,Pot fishery,20
21,Female,4.503793343628679,Pot fishery,21
22,Female,4.5910584549013675,Pot fishery,22
23,Female,4.674342414593645,Pot fishery,23
24,Female,4.753764031283919,Pot fishery,24
25,Female,4.82944664336857,Pot fishery,25
26,Female,4.901516742729387,Pot fishery,26
27,Female,4.970102777272437,Pot fishery,27
28,Female,5.035334114952444,Pot fishery,28
29,Female,5.0973401530362015,Pot fishery,29
30,Female,5.156249557522357,Pot fishery,30
31,Female,5.212189618794508,Pot fishery,31+
2,Male,1.7416611157390596,Pot fishery,2
3,Male,1.8558737414181243,Pot fishery,3
4,Male,1.966750933588189,Pot fishery,4
5,Male,2.074017466928687,Pot fishery,5
6,Male,2.1774681311368376,Pot fishery,6
7,Male,2.276958964130769,Pot fishery,7
8,Male,2.372399093546693,Pot fishery,8
9,Male,2.463743240601556,Pot fishery,9
10,Male,2.550984905834329,Pot fishery,10
11,Male,2.6341502315578924,Pot fishery,11
12,Male,2.7132925187323385,Pot fishery,12
13,Male,2.788487364590404,Pot fishery,13
14,Male,2.859828380283302,Pot fishery,14
15,Male,2.9274234439612616,Pot fishery,15
16,Male,2.991391443197253,Pot fishery,16
17,Male,3.05185946084085,Pot fishery,17
18,Male,3.1089603597430613,Pot fishery,18
19,Male,3.1628307239351052,Pot fishery,19
20,Male,3.2136091164825946,Pot fishery,20
21,Male,3.2614346171540474,Pot fishery,21
22,Male,3.306445606079095,Pot fishery,22
23,Male,3.3487787626123713,Pot fishery,23
24,Male,3.3885682515825803,Pot fishery,24
25,Male,3.4259450719382536,Pot fishery,25
26,Male,3.4610365454669076,Pot fishery,26
