year,Project_cde,trip_no,Adfg,Vessel,date,julian_day,Stat,Spp_cde,set,no_hooks,hooks_bare,hooks_bait,hook_invalid,hooks_sablefish,discard_status_cde,discard_status
1990,603,1,NA,NA,1990-08-28,240,345731,710,8,100,8,89,0,3,00,Unknown
2018,603,2,57935,kaia,2018-08-09,221,345701,710,10,44,22,5,1,1,00,Unknown
1994,603,1,NA,NA,1994-08-28,240,345631,710,15,100,35,48,0,16,00,Unknown
1990,603,1,NA,NA,1990-09-07,250,345631,710,28,100,16,61,0,20,00,Unknown
1993,603,1,NA,NA,1993-08-24,236,345631,710,2,130,72,11,0,38,00,Unknown
1991,603,1,NA,NA,1991-08-22,234,345631,710,22,100,26,71,0,1,00,Unknown
1995,603,1,NA,NA,1995-08-25,237,345701,710,12,100,47,24,0,12,00,Unknown
1994,603,1,NA,NA,1994-08-29,241,345631,710,16,100,47,22,0,21,00,Unknown
1988,603,1,NA,NA,1988-08-23,236,345701,710,16,98,20,63,0,14,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,36,99,46,24,0,25,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,12,100,21,52,0,24,00,Unknown
1996,603,1,NA,NA,1996-08-24,237,345701,710,17,100,37,39,0,19,00,Unknown
1994,603,1,NA,NA,1994-08-30,242,345631,710,21,96,39,43,0,11,00,Unknown
2018,603,1,33468,Masonic,2018-08-09,221,345603,710,13,45,20,1,0,1,00,Unknown
1995,603,1,NA,NA,1995-08-30,242,345631,710,26,98,44,31,0,16,00,Unknown
1990,603,1,NA,NA,1990-09-07,250,345631,710,29,100,30,36,0,31,00,Unknown
1996,603,1,NA,NA,1996-08-29,242,345731,710,30,99,65,8,0,22,00,Unknown
1988,603,1,NA,NA,1988-08-17,230,345631,710,6,99,29,49,0,20,00,Unknown
1996,603,1,NA,NA,1996-08-27,240,345731,710,25,96,64,6,0,25,00,Unknown
1996,603,1,NA,NA,1996-08-27,240,345731,710,27,100,70,13,0,11,00,Unknown
1995,603,1,NA,NA,1995-09-08,251,345731,710,57,97,21,28,0,43,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,11,102,32,38,0,31,00,Unknown
1996,603,1,NA,NA,1996-08-29,242,345731,710,32,100,55,23,0,19,00,Unknown
1994,603,1,NA,NA,1994-09-05,248,345701,710,35,99,53,36,0,7,00,Unknown
1994,603,1,NA,NA,1994-08-29,241,345631,710,16,100,51,14,0,27,00,Unknown
1988,603,1,NA,NA,1988-08-20,233,345701,710,14,99,31,45,0,20,00,Unknown
1995,603,1,NA,NA,1995-09-08,251,345731,710,57,100,15,33,0,43,00,Unknown
1996,603,1,NA,NA,1996-08-23,236,345701,710,15,100,54,33,0,11,00,Unknown
1993,603,1,NA,NA,1993-08-27,239,345701,710,12,98,30,38,0,30,00,Unknown
1990,603,1,NA,NA,1990-09-08,251,345631,710,35,100,24,42,0,23,00,Unknown
1988,603,1,NA,NA,1988-08-20,233,345701,710,14,95,22,46,0,23,00,Unknown
1988,603,1,NA,NA,1988-08-17,230,345631,710,6,96,39,31,0,24,00,Unknown
1993,603,1,NA,NA,1993-08-25,237,345631,710,7,98,54,28,0,12,00,Unknown
1995,603,1,NA,NA,1995-08-26,238,345701,710,16,98,39,53,0,5,00,Unknown
1994,603,1,NA,NA,1994-08-31,243,345631,710,23,100,27,55,0,13,00,Unknown
1994,603,1,NA,NA,1994-09-02,245,345701,710,29,100,18,65,0,13,00,Unknown
1993,603,1,NA,NA,1993-08-24,236,345631,710,3,97,49,13,0,34,00,Unknown
1995,603,1,NA,NA,1995-09-08,251,345731,710,58,101,23,68,0,7,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,35,99,27,44,0,22,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,54,100,18,66,0,13,00,Unknown
1989,603,1,NA,NA,1989-08-09,221,345631,710,7,98,7,89,0,2,00,Unknown
1995,603,1,NA,NA,1995-09-02,245,345631,710,40,98,29,53,0,16,00,Unknown
1996,603,1,NA,NA,1996-08-23,236,345701,710,15,97,65,23,0,8,00,Unknown
1996,603,1,NA,NA,1996-08-27,240,345731,710,25,96,61,9,0,23,00,Unknown
1995,603,1,NA,NA,1995-09-07,250,345731,710,51,101,23,35,0,37,00,Unknown
1988,603,1,NA,NA,1988-08-15,228,345631,710,2,96,34,29,0,29,00,Unknown
1992,603,1,NA,NA,1992-08-23,236,345701,710,17,99,17,72,0,8,00,Unknown
1996,603,1,NA,NA,1996-08-27,240,345731,710,26,100,47,5,0,39,00,Unknown
1990,603,1,NA,NA,1990-08-29,241,345731,710,9,100,17,60,0,22,00,Unknown
1994,603,1,NA,NA,1994-08-25,237,345731,710,7,100,28,44,0,24,00,Unknown
1990,603,1,NA,NA,1990-08-28,240,345731,710,7,100,8,83,0,9,00,Unknown
1994,603,1,NA,NA,1994-09-03,246,345701,710,32,100,40,38,0,13,00,Unknown
1996,603,1,NA,NA,1996-08-20,233,345631,710,12,94,50,32,0,10,00,Unknown
1988,603,1,NA,NA,1988-08-25,238,345731,710,22,102,18,66,0,16,00,Unknown
2018,603,2,57935,kaia,2018-08-09,221,345701,710,10,43,20,2,0,1,00,Unknown
1990,603,1,NA,NA,1990-09-04,247,345701,710,25,100,23,62,0,8,00,Unknown
1989,603,1,NA,NA,1989-08-17,229,345631,710,18,100,14,68,0,14,00,Unknown
1996,603,1,NA,NA,1996-08-30,243,345731,710,34,98,54,9,0,30,00,Unknown
1995,603,1,NA,NA,1995-09-04,247,345731,710,42,102,27,61,0,13,00,Unknown
1996,603,1,NA,NA,1996-08-17,230,345631,710,1,99,26,58,0,13,00,Unknown
1988,603,1,NA,NA,1988-08-19,232,345701,710,12,98,29,38,0,27,00,Unknown
1994,603,1,NA,NA,1994-09-01,244,345631,710,25,100,22,60,0,14,00,Unknown
1993,603,1,NA,NA,1993-09-04,247,345701,710,32,100,28,58,0,11,00,Unknown
1993,603,1,NA,NA,1993-09-07,250,345701,710,36,100,35,40,0,23,00,Unknown
1990,603,1,NA,NA,1990-09-08,251,345631,710,35,99,37,10,0,41,00,Unknown
1994,603,1,NA,NA,1994-08-24,236,345731,710,4,100,32,54,0,12,00,Unknown
1990,603,1,NA,NA,1990-09-09,252,345631,710,37,99,18,62,0,17,00,Unknown
1993,603,1,NA,NA,1993-08-24,236,345631,710,1,96,62,1,0,30,00,Unknown
1993,603,1,NA,NA,1993-08-27,239,345701,710,12,100,27,38,0,33,00,Unknown
1995,603,1,NA,NA,1995-09-06,249,345731,710,49,102,46,11,0,39,00,Unknown
1992,603,1,NA,NA,1992-08-24,237,345701,710,18,100,15,74,0,8,00,Unknown
1988,603,1,NA,NA,1988-08-25,238,345731,710,20,101,23,65,0,12,00,Unknown
1992,603,1,NA,NA,1992-08-31,244,345701,710,38,100,29,36,0,29,00,Unknown
1988,603,1,NA,NA,1988-08-24,237,345731,710,18,101,17,76,0,8,00,Unknown
1995,603,1,NA,NA,1995-09-01,244,345631,710,34,101,35,50,0,13,00,Unknown
1991,603,1,NA,NA,1991-08-16,228,345701,710,13,102,11,76,0,9,00,Unknown
1989,603,1,NA,NA,1989-08-20,232,345701,710,31,98,16,47,0,32,00,Unknown
