age,Sex,round_kg,Source,Age
2,Combined,1.988597481876522,LL fishery,2
3,Combined,2.222530873538389,LL fishery,3
4,Combined,2.44764835925907,LL fishery,4
5,Combined,2.6623171800207475,LL fishery,5
6,Combined,2.865450500107625,LL fishery,6
7,Combined,3.0564095489926375,LL fishery,7
8,Combined,3.2349152060671185,LL fishery,8
9,Combined,3.400970570774864,LL fishery,9
10,Combined,3.55479476059053,LL fishery,10
11,Combined,3.696767411572689,LL fishery,11
12,Combined,3.827382941322525,LL fishery,12
13,Combined,3.9472134476704137,LL fishery,13
14,Combined,4.056879073080663,LL fishery,14
15,Combined,4.157024707025952,LL fishery,15
16,Combined,4.24830198816593,LL fishery,16
17,Combined,4.331355680174482,LL fishery,17
18,Combined,4.406813613772175,LL fishery,18
19,Combined,4.475279503418767,LL fishery,19
20,Combined,4.537328054829597,LL fishery,20
21,Combined,4.593501876330131,LL fishery,21
22,Combined,4.6443097921079115,LL fishery,22
23,Combined,4.690226228768195,LL fishery,23
24,Combined,4.731691408963791,LL fishery,24
25,Combined,4.769112138279899,LL fishery,25
26,Combined,4.8028630151663005,LL fishery,26
27,Combined,4.833287929686365,LL fishery,27
28,Combined,4.860701746300728,LL fishery,28
29,Combined,4.885392089833308,LL fishery,29
30,Combined,4.907621173077835,LL fishery,30
31,Combined,4.927627619977975,LL fishery,31+
2,Female,2.1543378451925648,LL fishery,2
3,Female,2.369916507455044,LL fishery,3
4,Female,2.5848122183246147,LL fishery,4
5,Female,2.797862749972151,LL fishery,5
6,Female,3.008063868432761,LL fishery,6
7,Female,3.2145596875221663,LL fishery,7
8,Female,3.4166317706476135,LL fishery,8
9,Female,3.613687595833446,LL fishery,9
10,Female,3.805248843344729,LL fishery,10
11,Female,3.9909398418440434,LL fishery,11
12,Female,4.170476411979531,LL fishery,12
13,Female,4.3436552706345,LL fishery,13
14,Female,4.5103441006106815,LL fishery,14
15,Female,4.670472345851369,LL fishery,15
