age,prop_fem,prop_mature
2,0.5657071831191032,0.0869
3,0.5667787346982113,0.0869
4,0.5680692748576966,0.1983
5,0.5697834568082549,0.3406
6,0.5719799715871285,0.4828
7,0.5744591095869821,0.6251
8,0.5767343435969431,0.7673
9,0.578104793794656,0.9096
10,0.577813993915348,0.9469
11,0.5752448856843226,0.9637
12,0.5700824847641174,0.9804
13,0.5623856148341674,0.9843
14,0.552543582142767,0.9881
15,0.5411394913010054,0.992
16,0.5287811852985942,0.9958
17,0.515973067359779,0.997
18,0.5030760518061221,0.9976
19,0.49035104051555234,0.9981
20,0.47803546261679647,0.9987
21,0.46639053602521824,0.9988
22,0.45568362903898,0.999
23,0.4461157396711909,0.9992
24,0.43773949277710794,0.9993
25,0.43041866616509955,0.9995
26,0.423856831624492,0.9996
27,0.4176867733757267,0.9996
28,0.41158333395831337,0.9997
29,0.4053524381297061,0.9997
30,0.3989599759497139,0.9997
31,0.3924885516032793,0.9998
