year,index,Fmort,biom,expl_biom,expl_abd,spawn_biom
1975,0,0.1697513099530604,15.630519703626138,9.06359819842441,1.1500102578469387,6.580436924168909
1976,1,0.1941572910189026,17.748041366325612,7.874210641660845,1.026151274919555,5.805670103070145
1977,2,0.12193061083795699,25.706735174674627,7.54912261195045,1.0503138782479347,5.5374741151969396
1978,3,0.17112095348994624,30.05007949654087,7.898686760346958,1.2042462500448714,5.802427141936369
1979,4,0.23850590244013495,33.658405380987766,8.906332097207546,1.4836404283983289,6.532078602577255
1980,5,0.14449622140361235,37.50584528078267,10.951311057272575,1.8926369744431188,7.660171616618657
1981,6,0.08672282430017844,40.52270453202519,14.049627727030026,2.4354961317604307,9.332666834022723
1982,7,0.07952460485714224,43.16796327079816,17.608456572482815,3.008028487860379,11.39227295990421
1983,8,0.09925248691315991,44.45914124499058,20.514581931565303,3.4153920619197526,13.228078001484326
1984,9,0.08435543863060053,44.851358021693194,22.87053118411839,3.707094231163918,14.571247277909867
1985,10,0.12839031680831664,44.48752523027972,24.25071709946089,3.8315850027799168,15.572888146166157
1986,11,0.18207386131283015,42.895913628802575,23.824083979639138,3.684296029163732,15.560717697805522
1987,12,0.17977002980530365,42.48107916078709,22.726842047712672,3.460226804380701,14.754748723712986
1988,13,0.2058779371711411,47.003007233605246,21.28805567139342,3.2220959820378927,14.055780276973024
1989,14,0.19620764995965195,46.05898813062839,20.192672513612493,3.0847383878334482,13.074200101959566
1990,15,0.1769431767249365,45.376516571280106,20.122707572652747,3.1326389439927653,12.817245062343224
1991,16,0.21119092761172634,44.2644465774871,20.102065539910477,3.163304509735528,13.06030372090784
1992,17,0.23000280921845803,42.824272754044294,19.995300991875872,3.171115482253321,12.960657020245188
1993,18,0.32405649745241455,39.9886444161926,18.854875667607814,3.0040818027197016,12.425319385013166
1994,19,0.28886376996684987,35.616967660195826,17.277566233693438,2.7471294908973785,11.001006134910886
1995,20,0.29584150908650925,31.37648545358038,16.579998602101107,2.6874456154854434,9.952765997160899
1996,21,0.3367282374937718,27.820311612231198,14.784246617783614,2.3873802357285805,8.94470657492321
1997,22,0.4037777790090043,24.119594864037357,12.303449257383756,1.9750666615113606,7.68700318109667
1998,23,0.5073217877626952,23.809348161446326,9.563823299760106,1.542928533922346,6.389043441841561
1999,24,0.4130264573203854,24.292800882255907,7.946778358504402,1.312126783413924,5.199891751869376
2000,25,0.48363637509649476,23.07331769217011,7.177242234929127,1.2468177112295553,4.772979117598295
2001,26,0.34194780137302494,27.32743186994507,7.655159741456884,1.3881581241378433,4.947090738045386
2002,27,0.28664584824808415,25.730261674178877,8.62374832818387,1.573430351998716,5.352178966973057
2003,28,0.2505642881303413,23.789096048704508,9.846325966438183,1.7906578701641902,6.049223457037921
2004,29,0.24186611620012474,26.495470316728614,11.008195034444098,1.9613764038787675,6.9218625748583325
2005,30,0.21030987437815366,25.218768854954,11.35385699308501,1.9461089815588053,7.151692745822672
2006,31,0.20050563552691533,24.132115739753417,11.605549990185827,1.9471636615092185,7.396972669231256
2007,32,0.14355492757934388,23.016542316628144,12.280592972394464,2.0329107647836384,7.561442933956719
2008,33,0.13975696435275617,21.341705005888834,12.652326627221273,2.0439576496289447,7.768113806438554
2009,34,0.09726319923370604,23.72525709143147,13.025854192012604,2.0446448246518925,8.03453522502106
2010,35,0.09151820575813102,23.753213737196184,13.026725209095845,1.9881320129561342,8.13662755110953
2011,36,0.07545926864392526,24.697666655394904,13.247341361261366,2.0029687040761526,8.323679423079145
2012,37,0.08084873061801331,23.636188135357365,13.95680564244236,2.116364555431382,8.588478742814015
2013,38,0.07699684540940566,22.213478251759586,14.416993142734533,2.175981554328276,8.822254869749276
2014,39,0.06048008566659585,20.941627413189412,14.84619200276711,2.2058597800077457,9.068357889935157
2015,40,0.059418226702971554,23.3535321390828,14.820154503646503,2.138570215651706,9.29558958611771
2016,41,0.049678184733736266,25.108548730553245,14.47880754004872,2.031931542718569,9.286757661440612
2017,42,0.05277530051307726,26.07960433455419,14.532363695385866,2.035960838019609,9.300756348993717
2018,43,0.06130738060842476,30.77807682859669,14.999000759087041,2.1527048022990614,9.66883731787588
2019,44,0.06131407893638323,33.4380726429907,15.807937345469236,2.3224468987250986,10.079966560842633
2020,45,0.07006486389856681,37.96388323758589,16.962596804807948,2.5600716605082208,10.93717864846141
2021,46,0.0633469767605016,52.71142484494228,18.731207413980627,2.902420514120993,12.450051036431368
2022,47,0.06165427365257672,175.13924181916107,21.387799428702863,3.4394963087361936,18.57468969069511
2023,NA,NA,186.59069810547044,27.980211106985877,4.927327667370198,21.25488291604936
