year,index,Fmort,biom,expl_biom,expl_abd,spawn_biom,pred_rec
1975,0,0.016285620714519135,137.0123991424959,95.82310104747812,12.689439632971286,61.85331861661118,1.0309241849287702
1976,1,0.01596459641172837,133.43813292243678,96.42546504147428,12.79555244470915,62.0455057253249,1.1457683381929427
1977,2,0.009125978870046014,130.0762600838057,97.09913768359117,12.845136561124429,62.467648374835626,1.1987301915014428
1978,3,0.012801614171545862,126.50692743140085,97.28804285676222,12.792179250026946,62.70307898391114,1.1920501592549204
1979,4,0.019458877428062214,122.01670286861498,96.18384060205172,12.530454155507172,62.26438048908917,1.0982955098883098
1980,5,0.014403554739213887,160.99212261521166,94.23747587954388,12.16791308186476,61.11447068107394,17.790232002527812
1981,6,0.01129047000032214,160.25501480962592,93.38096484684696,12.150633798160756,60.483376983732946,0.9392102483087769
1982,7,0.013084348411907362,158.2229388102514,95.79427640065921,12.872455646364514,60.066129078974505,0.8941936377127008
1983,8,0.019024648793553034,154.67204971158654,98.92550488958346,13.535813413913457,63.16720277095634,0.8885472819363447
1984,9,0.01750617497520135,150.1967122190723,103.62697907716284,14.352799226591976,65.70402062370881,0.9346100868958315
1985,10,0.027514778738097965,144.5852604358402,108.43637543922831,15.070891900673704,68.88210328190767,1.0008619585410634
1986,11,0.038703108916590075,137.51212947150458,107.69619227165623,14.684813999107183,69.8740958301762,1.0521358172744528
1987,12,0.0372745607680494,129.74949396488876,104.5998541385689,13.958474021877345,68.00110536196492,0.9592574253736583
1988,13,0.041351196978452874,121.34380184383876,100.09780912691119,13.053865367198974,64.68021779679916,0.7266409554646049
1989,14,0.03939355448137064,112.73995052014351,93.95099957836332,12.009743376559028,60.9538860069385,0.5593712880722517
1990,15,0.03709674091722583,104.58401260450808,88.16536701510817,11.081089273183444,57.03577295188332,0.515621873211959
1991,16,0.04742819575085369,96.62492766901016,81.99518933050594,10.155830859010198,53.27008705644814,0.6012977486264162
1992,17,0.055754065587538995,88.81452051332809,75.37874127926048,9.218707906267477,48.96165898738551,0.7144873161392264
1993,18,0.08388237481767749,80.05841098066762,67.36572942753831,8.145962689576521,44.52517371646945,0.5956249606951509
1994,19,0.07631846902356312,71.58890874706798,60.18358835780245,7.223956490406122,39.410798023827056,0.48810841393349313
1995,20,0.08294139453667666,64.51511616291832,53.83694793343277,6.471111814529513,35.07192481511697,0.6617844342887701
1996,21,0.09613093141881195,58.64849477096814,47.627584780268386,5.72054543250336,31.035791594374356,0.9552106570891722
1997,22,0.11169856250842042,53.312192087099064,41.50936491714919,4.998696300026128,27.19910092344563,0.9893077880735769
1998,23,0.12699663066549197,50.98077954489533,36.09778490121714,4.398471603870504,23.648295322726085,1.9499490544620115
1999,24,0.09342254157638578,48.28407753569674,32.339906965952906,4.027999104807387,20.70753182691109,1.1566197982043884
2000,25,0.1043614805616769,46.86503280582106,29.83466086006879,3.8497861299687353,18.90940376676732,1.3210949302622694
2001,26,0.07873709733925631,45.353622296401895,28.656646769141762,3.845421896226142,17.71884326384572,0.9910257649666482
2002,27,0.07525257125940281,43.47744100774914,28.193153051833928,3.892614676922177,17.229449248771083,0.6474690830962261
2003,28,0.07631927252434932,41.36674740457658,27.841472603594703,3.9117509133632256,17.045726172815883,0.5436649267138662
2004,29,0.08557443102174507,39.24102059255989,27.160150641817857,3.833864361042988,16.817465027094432,0.5977630084153434
2005,30,0.08153533707606116,37.158390174709815,26.22218334828384,3.6861749798490897,16.333231081807707,0.5903657911548678
2006,31,0.08381755576985861,35.05233283207323,25.05987789092108,3.493403409377285,15.714470268700191,0.5268973466409078
2007,32,0.06622766533269162,33.17467840077898,24.013520691996828,3.3207528464008673,14.983570819623086,0.46821298088468805
2008,33,0.06981511803734515,31.292296698240477,22.99667476915161,3.1572565273641433,14.355638185971957,0.3803385852605886
2009,34,0.05321391531940401,31.597140501221592,22.120195790217988,3.015486968297335,13.707527549103354,1.1127472713192352
2010,35,0.052460426386431204,31.013041046576614,21.31648357494817,2.889708822474754,13.249872171210578,0.6212597774022749
2011,36,0.04521790216723788,29.604204373851548,20.76064220774279,2.821544045566335,12.818230149281023,0.24084222244025855
2012,37,0.05196111671017651,28.47421228457973,20.44681690624598,2.802341078511344,12.574023635314646,0.37511460823750753
2013,38,0.05200825897393779,27.742171536995635,20.010754211835597,2.7429538890264196,12.288387958153786,0.54499572483933445
2014,39,0.04346475596351944,27.628372067667463,19.506410922518462,2.6554366126724793,12.022108142690952,0.7133506096803521
2015,40,0.044501059467277636,31.088588545124676,18.979557759513206,2.5713718322926042,11.833114629412483,2.0239033056781217
2016,41,0.03732832881234211,32.13022436896481,18.75203895445862,2.558496755794421,11.677919869505969,0.9227768369716411
2017,42,0.03960664652373646,33.97579063535347,19.12525041164977,2.6827726867062562,11.671751574630022,1.2250548647371415
2018,43,0.04515074099760283,35.468475269016906,20.025351067066797,2.902388618807307,12.070024114598775,1.1195533553162922
2019,44,0.0450197696543548,35.57008353970085,21.037731718744325,3.1065262605747956,12.571657050572718,0.6246043945027215
2020,NA,NA,35.846364103946726,22.12921902224687,3.2953891361882595,13.29534716260874,NA
