age,Sex,round_kg,Source,Age
17,Combined,3.7918135262920543,Pot fishery,17
18,Combined,3.863231856400646,Pot fishery,18
19,Combined,3.9291824469356382,Pot fishery,19
20,Combined,3.9900163967720057,Pot fishery,20
21,Combined,4.046074508191629,Pot fishery,21
22,Combined,4.0976849875929275,Pot fishery,22
23,Combined,4.145161830119478,Pot fishery,23
24,Combined,4.188803760311069,Pot fishery,24
25,Combined,4.228893620401728,Pot fishery,25
26,Combined,4.265698115041623,Pot fishery,26
27,Combined,4.29946783614558,Pot fishery,27
28,Combined,4.330437504452882,Pot fishery,28
29,Combined,4.358826375421894,Pot fishery,29
30,Combined,4.384838766482411,Pot fishery,30
31,Combined,4.4086646706260035,Pot fishery,31+
2,Female,2.007991343294832,Pot fishery,2
3,Female,2.1716090972940902,Pot fishery,3
4,Female,2.336752302071464,Pot fishery,4
5,Female,2.50289363992679,Pot fishery,5
6,Female,2.6695417774514913,Pot fishery,6
7,Female,2.8362413975233305,Pot fishery,7
8,Female,3.0025728042043633,Pot fishery,8
9,Female,3.1681511864529197,Pot fishery,9
10,Female,3.332625613850281,Pot fishery,10
11,Female,3.4956778264576855,Pot fishery,11
12,Female,3.657020871276129,Pot fishery,12
13,Female,3.816397629413328,Pot fishery,13
14,Female,3.973579270818832,Pot fishery,14
15,Female,4.128363667194173,Pot fishery,15
16,Female,4.280573788299461,Pot fishery,16
17,Female,4.430056102252996,Pot fishery,17
18,Female,4.576678996460836,Pot fishery,18
19,Female,4.720331232433593,Pot fishery,19
20,Female,4.860920444873595,Pot fishery,20
21,Female,4.99837169298017,Pot fishery,21
22,Female,5.132626069866569,Pot fishery,22
23,Female,5.263639374257204,Pot fishery,23
24,Female,5.391380847193985,Pot fishery,24
25,Female,5.515831975285901,Pot fishery,25
26,Female,5.636985361052403,Pot fishery,26
27,Female,5.7548436601085875,Pot fishery,27
28,Female,5.86941858429221,Pot fishery,28
29,Female,5.980729969316704,Pot fishery,29
30,Female,6.088804905130632,Pot fishery,30
31,Female,6.193676926855108,Pot fishery,31+
2,Male,1.7281404149830628,Pot fishery,2
3,Male,1.8460116866447331,Pot fishery,3
4,Male,1.960124590373557,Pot fishery,4
5,Male,2.0701817732235264,Pot fishery,5
6,Male,2.175969141964048,Pot fishery,6
7,Male,2.2773446169701663,Pot fishery,7
8,Male,2.3742277646521397,Pot fishery,8
9,Male,2.4665903668121736,Pot fishery,9
10,Male,2.554447938113593,Pot fishery,10
11,Male,2.6378521702115707,Pot fishery,11
12,Male,2.7168842593912306,Pot fishery,12
13,Male,2.791649060981046,Pot fishery,13
14,Male,2.8622700061966904,Pot fishery,14
15,Male,2.928884713768961,Pot fishery,15
16,Male,2.991641228460253,Pot fishery,16
17,Male,3.0506948204253033,Pot fishery,17
18,Male,3.1062052826101225,Pot fishery,18
19,Male,3.158334667478311,Pot fishery,19
20,Male,3.2072454089179314,Pot fishery,20
21,Male,3.253098779934904,Pot fishery,21
22,Male,3.2960536414824793,Pot fishery,22
23,Male,3.336265442375398,Pot fishery,23
24,Male,3.373885434602757,Pot fishery,24
25,Male,3.409060072430998,Pot fishery,25
26,Male,3.441930567448862,Pot fishery,26
27,Male,3.4726325751384133,Pot fishery,27
28,Male,3.5012959916626514,Pot fishery,28
29,Male,3.5280448423512167,Pot fishery,29
30,Male,3.5529972458578607,Pot fishery,30
31,Male,3.576265440176531,Pot fishery,31+
