age,Sex,round_kg,Source,Age
2,Combined,1.9849004339553584,LL fishery,2
3,Combined,2.225597713789155,LL fishery,3
4,Combined,2.4568568690409354,LL fishery,4
5,Combined,2.6769210830296197,LL fishery,5
6,Combined,2.8846434764012097,LL fishery,6
7,Combined,3.0793736712358815,LL fishery,7
8,Combined,3.260855995915943,LL fishery,8
9,Combined,3.4291410275048,LL fishery,9
10,Combined,3.584510602424825,LL fishery,10
11,Combined,3.7274155262216344,LL fishery,11
12,Combined,3.8584247471969846,LL fishery,12
13,Combined,3.9781845682096777,LL fishery,13
14,Combined,4.087386449057239,LL fishery,14
15,Combined,4.186742027480021,LL fishery,15
16,Combined,4.27696411360067,LL fishery,16
17,Combined,4.358752561014182,LL fishery,17
18,Combined,4.432784069641919,LL fishery,18
19,Combined,4.499705120289754,LL fishery,19
20,Combined,4.560127372984161,LL fishery,20
21,Combined,4.614624978135565,LL fishery,21
22,Combined,4.663733350878929,LL fishery,22
23,Combined,4.707949045195484,LL fishery,23
24,Combined,4.747730436872383,LL fishery,24
25,Combined,4.783498984535381,LL fishery,25
26,Combined,4.815640887491391,LL fishery,26
27,Combined,4.844508999488271,LL fishery,27
28,Combined,4.870424890164278,LL fishery,28
29,Combined,4.893680972192312,LL fishery,29
30,Combined,4.914542633036827,LL fishery,30
31,Combined,4.9332503267884595,LL fishery,31+
2,Female,2.1601120938936673,LL fishery,2
3,Female,2.3801740615817426,LL fishery,3
4,Female,2.5992870134023502,LL fishery,4
5,Female,2.8162193248876837,LL fishery,5
6,Female,3.029914944370418,LL fishery,6
7,Female,3.2394817860712948,LL fishery,7
8,Female,3.4441788192937883,LL fishery,8
9,Female,3.6434025620702033,LL fishery,9
10,Female,3.836673500217473,LL fishery,10
11,Female,4.023622805870267,LL fishery,11
12,Female,4.203979615309001,LL fishery,12
13,Female,4.377559037829673,LL fishery,13
14,Female,4.544251000223779,LL fishery,14
15,Female,4.7040099808448295,LL fishery,15
16,Female,4.856845649741783,LL fishery,16
17,Female,5.0028144041200875,LL fishery,17
18,Female,5.142011769180188,LL fishery,18
19,Female,5.274565621365129,LL fishery,19
20,Female,5.400630182773874,LL fishery,20
21,Female,5.520380730814446,LL fishery,21
22,Female,5.634008965171735,LL fishery,22
23,Female,5.741718974133483,LL fishery,23
24,Female,5.843723743696454,LL fishery,24
25,Female,5.940242155229773,LL fishery,25
26,Female,6.031496420470575,LL fishery,26
27,Female,6.1177099060147375,LL fishery,27
28,Female,6.199105303051697,LL fishery,28
29,Female,6.275903101735685,LL fishery,29
30,Female,6.348320333183662,LL fishery,30
31,Female,6.4165695455702005,LL fishery,31+
2,Male,1.9928684323213508,LL fishery,2
3,Male,2.125356089901717,LL fishery,3
4,Male,2.2513548902841247,LL fishery,4
5,Male,2.3706757758827286,LL fishery,5
6,Male,2.4832517202544953,LL fishery,6
7,Male,2.589114228376371,LL fishery,7
8,Male,2.688372912226114,LL fishery,8
9,Male,2.7811979673330143,LL fishery,9
10,Male,2.8678053126053675,LL fishery,10
11,Male,2.948444125959384,LL fishery,11
12,Male,3.023386500910176,LL fishery,12
13,Male,3.092918956369808,LL fishery,13
14,Male,3.157335547802401,LL fishery,14
15,Male,3.216932348694048,LL fishery,15
16,Male,3.2720030943292633,LL fishery,16
17,Male,3.3228358033430445,LL fishery,17
18,Male,3.3697102152933742,LL fishery,18
19,Male,3.4128959038787148,LL fishery,19
20,Male,3.4526509450267597,LL fishery,20
21,Male,3.48922103673656,LL fishery,21
22,Male,3.522838983239771,LL fishery,22
23,Male,3.5537244698230923,LL fishery,23
24,Male,3.5820840666424667,LL fishery,24
25,Male,3.60811141020981,LL fishery,25
26,Male,3.631987520107288,LL fishery,26
27,Male,3.653881216045977,LL fishery,27
28,Male,3.673949606793542,LL fishery,28
29,Male,3.6923386278968295,LL fishery,29
30,Male,3.7091836096559336,LL fishery,30
31,Male,3.7246098605881146,LL fishery,31+
2,Combined,1.2667094200531324,LL survey,2
3,Combined,1.5500724423336407,LL survey,3
4,Combined,1.8287297721154288,LL survey,4
5,Combined,2.096871416713674,LL survey,5
6,Combined,2.3505184857130628,LL survey,6
7,Combined,2.587190669274198,LL survey,7
8,Combined,2.805582886137074,LL survey,8
9,Combined,3.005277528970622,LL survey,9
10,Combined,3.1865020718811747,LL survey,10
11,Combined,3.34993269649561,LL survey,11
12,Combined,3.496540032366608,LL survey,12
13,Combined,3.627471200704673,LL survey,13
14,Combined,3.743961925509253,LL survey,14
15,Combined,3.847272822463426,LL survey,15
16,Combined,3.938644674026262,LL survey,16
17,Combined,4.019268310467822,LL survey,17
18,Combined,4.09026551301815,LL survey,18
19,Combined,4.152678074561935,LL survey,19
20,Combined,4.207462771165426,LL survey,20
21,Combined,4.255490510900019,LL survey,21
22,Combined,4.297548342350018,LL survey,22
23,Combined,4.334343335958615,LL survey,23
24,Combined,4.366507610361228,LL survey,24
25,Combined,4.394603975958581,LL survey,25
26,Combined,4.419131820718112,LL survey,26
27,Combined,4.4405329784253755,LL survey,27
28,Combined,4.4591974055291335,LL survey,28
29,Combined,4.475468555991337,LL survey,29
30,Combined,4.489648389485945,LL survey,30
31,Combined,4.502001981083873,LL survey,31+
2,Female,1.36112392251841,LL survey,2
3,Female,1.6397866247569723,LL survey,3
4,Female,1.9240934260162004,LL survey,4
5,Female,2.209529836263455,LL survey,5
6,Female,2.4923265102284455,LL survey,6
7,Female,2.769424635471733,LL survey,7
8,Female,3.03841600994656,LL survey,8
9,Female,3.2974706058142056,LL survey,9
10,Female,3.545260101535159,LL survey,10
11,Female,3.7808827953710225,LL survey,11
12,Female,4.003793163246513,LL survey,12
13,Female,4.213737843903308,LL survey,13
14,Female,4.41069883800682,LL survey,14
15,Female,4.5948440569320645,LL survey,15
16,Female,4.766484949503348,LL survey,16
17,Female,4.926040696676878,LL survey,17
18,Female,5.074008341274327,LL survey,18
19,Female,5.210938173866201,LL survey,19
20,Female,5.3374136994371595,LL survey,20
21,Female,5.454035543395644,LL survey,21
22,Female,5.561408706606863,LL survey,22
23,Female,5.660132638491258,LL survey,23
24,Female,5.750793658945396,LL survey,24
25,Female,5.8339593201623945,LL survey,25
26,Female,5.91017435610584,LL survey,26
27,Female,5.979957919201728,LL survey,27
28,Female,6.043801850224133,LL survey,28
29,Female,6.102169768278289,LL survey,29
30,Female,6.15549680342737,LL survey,30
31,Female,6.204189825229712,LL survey,31+
2,Male,1.270022631023402,LL survey,2
3,Male,1.485704378287569,LL survey,3
4,Male,1.6922493982812503,LL survey,4
5,Male,1.8869223484166653,LL survey,5
6,Male,2.0680743067516216,LL survey,6
7,Male,2.234898769011286,LL survey,7
8,Male,2.387219039124748,LL survey,8
9,Male,2.525311586040982,LL survey,9
10,Male,2.6497643335501744,LL survey,10
11,Male,2.761366177196742,LL survey,11
12,Male,2.861023031449086,LL survey,12
13,Male,2.9496956369562355,LL survey,13
14,Male,3.0283547447632695,LL survey,14
15,Male,3.0979498757404205,LL survey,15
16,Male,3.1593884806577797,LL survey,16
17,Male,3.2135229217028987,LL survey,17
18,Male,3.2611432240030833,LL survey,18
19,Male,3.3029739938978997,LL survey,19
20,Male,3.339674270178558,LL survey,20
21,Male,3.371839372450549,LL survey,21
22,Male,3.40000404689609,LL survey,22
23,Male,3.4246463941601957,LL survey,23
24,Male,3.4461922063609127,LL survey,24
25,Male,3.465019448704538,LL survey,25
26,Male,3.48146270297148,LL survey,26
27,Male,3.49581745108978,LL survey,27
28,Male,3.508344121876021,LL survey,28
29,Male,3.5192718565803474,LL survey,29
30,Male,3.5288019721019808,LL survey,30
31,Male,3.5371111169662144,LL survey,31+
2,Combined,1.8700163442705928,Pot fishery,2
3,Combined,2.049831667302927,Pot fishery,3
4,Combined,2.2237454513822916,Pot fishery,4
5,Combined,2.390861843079866,Pot fishery,5
6,Combined,2.55054364152045,Pot fishery,6
7,Combined,2.7023729199262037,Pot fishery,7
8,Combined,2.8461146945170963,Pot fishery,8
9,Combined,2.9816842010437963,Pot fishery,9
10,Combined,3.1091179722175784,Pot fishery,10
11,Combined,3.2285486697035943,Pot fishery,11
12,Combined,3.3401834753269153,Pot fishery,12
13,Combined,3.4442857605973516,Pot fishery,13
14,Combined,3.5411597117877656,Pot fishery,14
15,Combined,3.631137575257373,Pot fishery,15
16,Combined,3.714569194207036,Pot fishery,16
