retro,mgc
retro_0,3.159639857808405e-4
retro_1,1.6124954019372528e-4
retro_2,7.578328818472202e-5
retro_3,9.613213806614063e-5
retro_4,7.300452041879428e-4
retro_5,5.103949412360587e-4
retro_6,2.2361191105491063e-4
retro_7,3.2158424280314746e-4
retro_8,1.8336080703451607e-4
retro_9,1.5277813828951103e-4
retro_10,1.7108799350924742e-4
