year,rec,retro
1975,1109139.5100005448,retro_0
1976,1124718.7810280952,retro_0
1977,1131607.2708160914,retro_0
1978,1103042.4245715032,retro_0
1979,19725181.868859068,retro_0
1980,1074016.5573079002,retro_0
1981,1089069.4486100825,retro_0
1982,1130791.1923870645,retro_0
1983,1142916.3394674906,retro_0
1984,1107661.7717850883,retro_0
1985,999035.9151775652,retro_0
1986,865556.1782550475,retro_0
1987,750186.8433049886,retro_0
1988,646099.7560974245,retro_0
1989,565834.4278073895,retro_0
1990,539178.4790191678,retro_0
1991,566019.8253553794,retro_0
1992,602407.2196264259,retro_0
1993,570454.0791590475,retro_0
1994,545417.7077069556,retro_0
1995,676285.5587853764,retro_0
1996,836334.3620960402,retro_0
1997,1105943.5496378057,retro_0
1998,1559573.0721141011,retro_0
1999,1596970.9723476395,retro_0
2000,1212631.4645936955,retro_0
2001,1077910.2599323764,retro_0
2002,925710.2701309577,retro_0
2003,655440.994563268,retro_0
2004,604261.5732500795,retro_0
2005,792747.0020975986,retro_0
2006,580387.9971925066,retro_0
2007,480628.2172289519,retro_0
2008,479199.16324960283,retro_0
2009,1234063.7645700353,retro_0
2010,614296.6929307483,retro_0
2011,296360.72476480907,retro_0
2012,317699.4801612132,retro_0
2013,360404.277502836,retro_0
2014,646831.8378011496,retro_0
2015,1305629.0379365045,retro_0
2016,1228804.0440810414,retro_0
2017,1305957.40786089,retro_0
2018,4593268.398350115,retro_0
2019,945040.5473062706,retro_0
2020,1273584.2881152357,retro_0
2021,1316782.8967127241,retro_0
2022,1054636.231688192,retro_0
1975,1095062.981134879,retro_1
1976,1110102.693417135,retro_1
1977,1116631.723563289,retro_1
1978,1088911.7366786345,retro_1
1979,19796200.928257436,retro_1
1980,1061561.5053616508,retro_1
1981,1077513.581081557,retro_1
1982,1120319.4779590038,retro_1
1983,1134812.6032902822,retro_1
1984,1102241.3366044415,retro_1
1985,995212.9763724451,retro_1
1986,862247.5645080671,retro_1
1987,746851.2173215575,retro_1
1988,642674.0903759685,retro_1
1989,562440.7776072785,retro_1
1990,535489.1471874818,retro_1
1991,561601.037141758,retro_1
1992,596628.9438720191,retro_1
1993,563276.501183832,retro_1
1994,539009.4972430532,retro_1
1995,665407.3935899776,retro_1
1996,817976.4497810224,retro_1
1997,1075560.1792496033,retro_1
1998,1631882.5425198537,retro_1
1999,1529090.8860764883,retro_1
2000,1277424.7454183898,retro_1
2001,1082835.739008595,retro_1
2002,905405.5859255787,retro_1
2003,648333.4748322758,retro_1
2004,636349.859023191,retro_1
2005,767515.0132464676,retro_1
2006,584365.3722752739,retro_1
2007,485746.63718805433,retro_1
2008,518684.0401192422,retro_1
2009,1231268.2530442504,retro_1
2010,589677.5631670116,retro_1
2011,313244.38325260265,retro_1
2012,334019.8608083405,retro_1
2013,377693.7035929199,retro_1
2014,682128.8363102531,retro_1
2015,1405836.2659686874,retro_1
2016,1312795.8982096182,retro_1
2017,1683476.708463005,retro_1
2018,4518704.3529627025,retro_1
2019,885542.7972467665,retro_1
2020,890859.0011773822,retro_1
2021,899214.1248547843,retro_1
1975,1119619.9662284236,retro_2
1976,1135825.3726857975,retro_2
1977,1143105.9488767183,retro_2
1978,1113695.9095625782,retro_2
1979,19582931.124385305,retro_2
1980,1081943.8382421834,retro_2
1981,1094924.9147552585,retro_2
1982,1133328.0373139405,retro_2
1983,1140459.8012761765,retro_2
1984,1100452.6848594912,retro_2
1985,989922.1883567168,retro_2
1986,856788.3059655268,retro_2
1987,741866.6360454725,retro_2
1988,638377.3254992651,retro_2
1989,558629.8859558356,retro_2
1990,531188.025549102,retro_2
1991,555284.8012925702,retro_2
1992,585475.6316184343,retro_2
1993,554582.5753231235,retro_2
1994,531919.9013264251,retro_2
1995,653732.9492486741,retro_2
1996,800266.2416789475,retro_2
1997,1067754.6745887967,retro_2
1998,1654581.2026010337,retro_2
1999,1496716.2943723924,retro_2
2000,1314982.590056736,retro_2
2001,1081164.1576490577,retro_2
2002,881420.883404539,retro_2
2003,649832.5795879227,retro_2
2004,648097.7213725502,retro_2
2005,751345.6543792788,retro_2
2006,583999.6289825467,retro_2
2007,495302.1423884606,retro_2
2008,548360.1945876237,retro_2
2009,1214707.8318192838,retro_2
2010,601461.1012199635,retro_2
2011,329252.0061168952,retro_2
2012,355346.9955453632,retro_2
2013,409566.329146486,retro_2
2014,732192.1011210993,retro_2
2015,1602678.6128818167,retro_2
2016,1432056.353002495,retro_2
2017,1921678.6209018028,retro_2
2018,4214556.90730742,retro_2
2019,1066734.0243547845,retro_2
2020,893290.6676787528,retro_2
1975,1076793.7224001854,retro_3
1976,1093274.2747390382,retro_3
1977,1102830.3363763837,retro_3
1978,1082790.2256904617,retro_3
1979,19645546.476426195,retro_3
1980,1063178.4333039252,retro_3
1981,1077583.6693298623,retro_3
1982,1113349.5088935469,retro_3
1983,1121036.3952623748,retro_3
1984,1084522.4133254418,retro_3
1985,981775.7130575351,retro_3
1986,854753.4273237488,retro_3
1987,742408.112900598,retro_3
1988,641223.9483022938,retro_3
1989,563208.4647891456,retro_3
1990,534239.3492330939,retro_3
1991,551981.9549893156,retro_3
1992,578686.6676493331,retro_3
1993,552733.5762428702,retro_3
1994,535773.3099562529,retro_3
1995,653886.9558272583,retro_3
1996,800765.9950883224,retro_3
1997,1096938.325975444,retro_3
1998,1678350.0855779082,retro_3
1999,1489569.9754181902,retro_3
2000,1390775.6315062994,retro_3
2001,1071960.1639029356,retro_3
2002,846389.4677232491,retro_3
2003,685452.9459493645,retro_3
2004,646763.5354874318,retro_3
2005,726121.8685479219,retro_3
2006,593477.2080762675,retro_3
2007,521195.96535251575,retro_3
2008,583701.8810804841,retro_3
2009,1123587.6485151562,retro_3
2010,675285.5887216955,retro_3
2011,360801.68907489924,retro_3
2012,381596.9796044135,retro_3
2013,421673.9483782232,retro_3
2014,745888.7543187664,retro_3
2015,1665075.909592824,retro_3
2016,1462514.704447433,retro_3
2017,1479854.142750557,retro_3
2018,1805029.493129541,retro_3
2019,1009196.7428133935,retro_3
1975,1073791.6498986764,retro_4
1976,1089830.0208844375,retro_4
1977,1098683.63494763,retro_4
1978,1077103.8686601345,retro_4
1979,19573107.44291207,retro_4
