year,number_unmarked,number_marked,fully_observed,comments,gear
2008,8944,16,Yes,"8/10/08-Tender offload first portion of survey- F/V Seaview, Charles T and Masonic",LL
2008,2514,4,Yes,8/12/08- F/V Masonic,LL
2008,3821,20,Yes,8/12/08- Tender offload- F/V Seaview & Charles T,LL
2010,7566,20,Yes,"8/4/2010- Tender offload first portion of survey- F/V Seaview, Ida June, and Masonic",LL
2010,2533,18,Yes,8/6/10- F/V Ida June,LL
2010,3034,9,Yes,8/6/10- F/V Masonic,LL
2010,1578,7,Yes,8/7/10- F/V Seaview,LL
2022,4015,1,Yes,sets 1-7,LL
2022,3814,11,Yes,sets 8-14,LL
2022,3192,10,Yes,sets 1-5,LL
2022,4592,7,Yes,sets 6-14,LL
2022,3312,6,Yes,sets 1-6,LL
2022,3774,11,Yes,sets 7-14,LL
