year,Mgmt_area,Project_cde,trip_no,Adfg,Vessel,date,julian_day,Stat,Spp_cde,set,start_lat,start_lon,end_lat,end_lon,depth,length,weight,age,Sex,Maturity,age_type_code,age_readability,tag_no,discard_status,release_condition_cde
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,3.16,NA,NA,NA,NA,NA,T-090278,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,5.3,NA,NA,NA,NA,NA,T-090279,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,4.2,NA,NA,NA,NA,NA,T-090280,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,66,3.45,NA,NA,NA,NA,NA,T-090281,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,2.8000000000000003,NA,NA,NA,NA,NA,T-090282,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,68,5.3,NA,NA,NA,NA,NA,T-090283,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,3.2,NA,NA,NA,NA,NA,T-090284,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,3.8000000000000003,NA,NA,NA,NA,NA,T-090285,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,T-090286,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090287,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090288,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090289,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090290,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,T-090291,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090292,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090293,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,T-090294,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090295,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090296,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,T-090297,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090298,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090299,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,T-090324,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,T-090323,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,58,2.3000000000000003,NA,NA,NA,NA,NA,T-090322,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,3.56,NA,NA,NA,NA,NA,T-090321,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,60,2.48,NA,NA,NA,NA,NA,T-090320,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,T-090319,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,T-090318,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090317,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,T-090316,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,T-090315,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,T-090314,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,T-090313,Tagged and released,01
2019,NA,66,1,NA,NA,NA,NA,NA,710,1,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,T-090312,Tagged and released,01
