parameter,estimate
log_srv_slx_pars,1.6059255660788538
log_srv_slx_pars,0.7098446312451457
log_srv_slx_pars,1.1882925401249052
log_srv_slx_pars,-0.11558201436160995
fsh_logq,-17.455594794747896
srv_logq,-16.401583752477354
mr_logq,-0.04952674469852763
log_rbar,7.5397517228775035
log_rec_devs,7.296508111279911
log_rec_devs,7.37507373447846
log_rec_devs,7.258748934449664
log_rec_devs,7.035060869596103
log_rec_devs,6.822707051426615
log_rec_devs,6.6281271087787
log_rec_devs,6.403461516511079
log_rec_devs,6.286468671736701
log_rec_devs,6.052132001025965
log_rec_devs,5.791065822938609
log_rec_devs,5.621220962846474
log_rec_devs,5.650114713038828
log_rec_devs,5.547355663805689
log_rec_devs,5.629449575163707
log_rec_devs,5.781169151993664
log_rec_devs,6.0822024994109745
log_rec_devs,6.078819718177546
log_rec_devs,6.353751549596736
log_rec_devs,6.3545971119908975
log_rec_devs,6.209334136132131
log_rec_devs,6.206561618321592
log_rec_devs,5.985167879382309
log_rec_devs,5.936849344441032
log_rec_devs,5.8312765483238325
log_rec_devs,5.706325061717642
log_rec_devs,5.802118621474459
log_rec_devs,5.638418603437898
log_rec_devs,5.437016996129811
log_rec_devs,5.560198862797361
log_rec_devs,5.704719715509405
log_rec_devs,5.581247895250132
log_rec_devs,5.3672735974249095
log_rec_devs,5.566630873173158
log_rec_devs,5.918749964449613
log_rec_devs,6.822750132456028
log_rec_devs,7.476658815489594
log_rec_devs,7.534068747367319
log_rec_devs,6.788848079154962
log_rec_devs,5.987920707741573
log_rinit,7.788457255790871
log_rinit_devs,7.369556258483828
log_rinit_devs,7.250468954512153
log_rinit_devs,7.101165453295952
log_rinit_devs,6.807029507962912
log_rinit_devs,6.478327533463388
log_rinit_devs,6.338346260051802
log_rinit_devs,6.346102857497541
log_rinit_devs,6.304845716649443
log_rinit_devs,6.156729793320126
log_rinit_devs,6.1779709187869685
log_rinit_devs,6.097225513049322
log_rinit_devs,5.9685617003574825
log_rinit_devs,6.071928093800623
log_rinit_devs,6.050851387816685
log_rinit_devs,5.892955942990654
log_rinit_devs,5.900529273775523
log_rinit_devs,5.91401728360371
log_rinit_devs,6.276759618479212
log_rinit_devs,6.028885451346613
log_rinit_devs,6.032533796280421
log_rinit_devs,6.028091978704259
log_rinit_devs,5.900420587662153
log_rinit_devs,5.970486236721586
log_rinit_devs,5.972205367606751
log_rinit_devs,5.976227058093024
log_rinit_devs,5.982337437151697
log_rinit_devs,5.990219836850831
log_rinit_devs,5.999312646164158
log_rinit_devs,6.009584777161069
log_rinit_devs,6.020906806340986
log_rinit_devs,6.032648122552977
log_rinit_devs,6.044573147804062
log_rinit_devs,6.05641724617955
log_rinit_devs,6.068028839479165
log_rinit_devs,6.079307994723495
log_rinit_devs,6.0901118030384405
log_rinit_devs,6.10046814653067
log_rinit_devs,6.110182579359265
log_rinit_devs,6.119190992196087
log_Fbar,-2.719598789207389
log_F_devs,-1.9271677939017051
log_F_devs,-3.0186043611406284
log_F_devs,-2.5493356553833344
log_F_devs,-2.7285102130334793
log_F_devs,-2.1210535438827387
log_F_devs,-0.3047543405134501
log_F_devs,-0.029311497131210063
log_F_devs,-0.08972113800615711
log_F_devs,-0.005572515051566267
log_F_devs,-0.09404210112510457
log_F_devs,-0.18389507511181982
log_F_devs,0.03746100972874064
log_F_devs,0.18668984500681765
log_F_devs,0.581881669012623
log_F_devs,0.5003055712023428
log_F_devs,0.595331633394547
log_F_devs,0.7662030331304432
log_F_devs,0.9133022818735732
log_F_devs,1.0547254826310448
log_F_devs,0.790175965601373
log_F_devs,0.9110930327383114
log_F_devs,0.6808601754337131
log_F_devs,0.6596048963033282
log_F_devs,0.6897916232118092
log_F_devs,0.8128812786665554
log_F_devs,0.7384630857268707
log_F_devs,0.7556878640855379
log_F_devs,0.5417343356435232
log_F_devs,0.5633470870541831
log_F_devs,0.3017997396266084
log_F_devs,0.26982446585350384
log_F_devs,0.11492779248745007
log_F_devs,0.25371186744378016
log_F_devs,0.2548835999256233
log_F_devs,0.07733649539239446
log_F_devs,0.08338971729174595
log_F_devs,-0.09670470146732522
log_F_devs,-0.04187532438229522
log_F_devs,0.05144809180537127
