Source,Sex,age,round_kg,Age
LL survey,Combined,14,3.6224,14
LL survey,Combined,15,3.717,15
LL survey,Combined,16,3.7997,16
LL survey,Combined,17,3.8719,17
LL survey,Combined,18,3.9348,18
LL survey,Combined,19,3.9894,19
LL survey,Combined,20,4.0369,20
LL survey,Combined,21,4.078,21
LL survey,Combined,22,4.1136,22
LL survey,Combined,23,4.1445,23
LL survey,Combined,24,4.1711,24
LL survey,Combined,25,4.1941,25
LL survey,Combined,26,4.214,26
LL survey,Combined,27,4.2312,27
LL survey,Combined,28,4.246,28
LL survey,Combined,29,4.2588,29
LL survey,Combined,30,4.2698,30
LL survey,Combined,31,4.2793,31+
LL survey,Female,2,1.2856,2
LL survey,Female,3,1.564,3
LL survey,Female,4,1.8478,4
LL survey,Female,5,2.1322,5
LL survey,Female,6,2.4132,6
LL survey,Female,7,2.6874,7
LL survey,Female,8,2.9523,8
LL survey,Female,9,3.2062,9
LL survey,Female,10,3.4477,10
LL survey,Female,11,3.676,11
LL survey,Female,12,3.8907,12
LL survey,Female,13,4.0917,13
LL survey,Female,14,4.2791,14
LL survey,Female,15,4.4532,15
LL survey,Female,16,4.6144,16
LL survey,Female,17,4.7633,17
LL survey,Female,18,4.9005,18
LL survey,Female,19,5.0266,19
LL survey,Female,20,5.1424,20
LL survey,Female,21,5.2484,21
LL survey,Female,22,5.3454,22
LL survey,Female,23,5.434,23
LL survey,Female,24,5.5149,24
LL survey,Female,25,5.5886,25
LL survey,Female,26,5.6557,26
LL survey,Female,27,5.7167,27
LL survey,Female,28,5.7723,28
LL survey,Female,29,5.8227,29
LL survey,Female,30,5.8685,30
LL survey,Female,31,5.91,31+
LL survey,Male,2,1.2186,2
LL survey,Male,3,1.4436,3
LL survey,Male,4,1.6584,4
LL survey,Male,5,1.8598,5
LL survey,Male,6,2.0459,6
LL survey,Male,7,2.216,7
LL survey,Male,8,2.3699,8
LL survey,Male,9,2.5082,9
LL survey,Male,10,2.6316,10
LL survey,Male,11,2.7412,11
LL survey,Male,12,2.838,12
LL survey,Male,13,2.9233,13
LL survey,Male,14,2.9981,14
LL survey,Male,15,3.0637,15
LL survey,Male,16,3.121,16
LL survey,Male,17,3.1709,17
LL survey,Male,18,3.2143,18
LL survey,Male,19,3.2521,19
LL survey,Male,20,3.2849,20
LL survey,Male,21,3.3133,21
LL survey,Male,22,3.338,22
LL survey,Male,23,3.3593,23
LL survey,Male,24,3.3778,24
LL survey,Male,25,3.3938,25
LL survey,Male,26,3.4076,26
LL survey,Male,27,3.4195,27
LL survey,Male,28,3.4298,28
LL survey,Male,29,3.4387,29
LL survey,Male,30,3.4464,30
LL survey,Male,31,3.453,31+
