year,index,Source,effn,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1997,17,Survey,24.020824298928627,0.00173,0.00173,0.00867,0.01386,0.03466,0.04679,0.04506,0.04159,0.0364,0.0364,0.0312,0.03986,0.026,0.0208,0.026,0.03813,0.03293,0.04159,0.07626,0.05893,0.04679,0.05546,0.026,0.0208,0.0208,0.01733,0.01213,0.0104,0.01386,0.00867,0.00867,0.01213,0.0104,0.00347,0.00867,0.0104,0.00693,0.00693,0.00173,0.00347,0.0364
1998,18,Survey,18.920887928424502,0.00279,0.00559,0.02514,0.05028,0.04749,0.03352,0.03631,0.05587,0.04749,0.02514,0.03073,0.03073,0.01676,0.03352,0.01676,0.04469,0.06145,0.0419,0.02793,0.05028,0.05307,0.03352,0.03631,0.00559,0.03073,0.01676,0.01955,0.01117,0.02235,0.00279,0.00559,0.00838,0.00559,0.00279,0.00559,0.00838,0.00838,0.00279,0.00279,0.00838,0.02514
1999,19,Survey,18.894443627691185,0.05322,0.04482,0.08403,0.06723,0.10924,0.04762,0.06443,0.03361,0.02801,0.01401,0.0056,0.01681,0.01401,0.01681,0.02521,0.02521,0.02521,0.02521,0.03922,0.02801,0.03361,0.05602,0.01681,0.0056,0.0084,0.0056,0.0084,0.0112,0.0056,0.0084,0.0084,0.0056,0.0056,0.0028,0.0028,0.0056,0,0.0084,0.0084,0.0028,0.02241
2e3,20,Survey,20.248456731316587,0.01707,0.0439,0.06585,0.09512,0.1,0.10732,0.07317,0.02439,0.03415,0.03415,0.01707,0.01463,0.01463,0.00976,0.01707,0.00732,0.00732,0.0122,0.01463,0.03415,0.0439,0.03415,0.03415,0.03902,0.02439,0.00732,0.00488,0,0.00976,0.00244,0.00488,0,0,0.00732,0.00244,0,0.00488,0.00244,0,0,0.03415
2001,21,Survey,26.832815729997478,0.01111,0.06528,0.06389,0.09306,0.12361,0.0625,0.05833,0.05278,0.03611,0.03472,0.03194,0.01528,0.01944,0.02778,0.03333,0.01667,0.01667,0.04028,0.02361,0.03333,0.02361,0.025,0.02778,0.0125,0.00694,0.00139,0.00139,0.00417,0.00556,0.00417,0.00694,0.00278,0.00139,0.00278,0,0.00278,0,0.00139,0.00278,0.00139,0.00556
2002,22,Fishery,48.218253804964775,8.6e-4,0.00215,0.01118,0.03312,0.06495,0.09333,0.08989,0.09075,0.06409,0.04688,0.03914,0.04344,0.02022,0.01677,0.01419,0.02753,0.0172,0.01763,0.01591,0.01548,0.01505,0.02323,0.02108,0.01978,0.0228,0.02237,0.01978,0.01806,0.01032,0.01118,0.01032,0.00731,0.00989,0.0086,0.00516,0.00516,0.00344,0.00387,0.00344,0.00129,0.03312
2002,22,Survey,25.865034312755125,0.00149,0.00747,0.01943,0.05531,0.1136,0.13303,0.07025,0.06278,0.03737,0.05381,0.01644,0.01794,0.02541,0.00747,0.01495,0.00598,0.01943,0.02242,0.01196,0.01196,0.03438,0.05082,0.0284,0.03288,0.01794,0.01644,0.01644,0.00747,0.00747,0.00149,0.00897,0.00448,0.01196,0.00448,0,0.00598,0.00299,0.00149,0.00448,0.00299,0.0299
2003,23,Fishery,42.43819034784589,0,0.005,0.0111,0.06496,0.09606,0.14936,0.10661,0.08162,0.0583,0.04386,0.02332,0.0211,0.01777,0.00944,0.01721,0.01277,0.01166,0.01388,0.01777,0.0161,0.01888,0.01499,0.01777,0.01166,0.0161,0.01666,0.01999,0.0161,0.00611,0.00722,0.01055,0.005,0.00555,0.00444,0.00333,0.00389,0.00389,0.00666,0.00222,0.00278,0.02832
2003,23,Survey,28.106938645110393,0,0,0.00127,0.0481,0.0443,0.10253,0.19873,0.05063,0.11519,0.03924,0.03291,0.02911,0.01646,0.01139,0.02025,0.01519,0.01013,0.00633,0.02025,0.00759,0.01013,0.01266,0.01392,0.01899,0.02658,0.01013,0.01266,0.01772,0.00886,0.01392,0.00506,0.00633,0.00633,0.00633,0.01139,0.00506,0.00506,0.00759,0.00633,0.00127,0.02405
2004,24,Fishery,48.187135212627034,0,8.6e-4,0.01723,0.03704,0.118,0.11413,0.13566,0.09604,0.05857,0.04307,0.02713,0.01809,0.01809,0.00904,0.01249,0.00904,0.00947,0.01163,0.01034,0.0155,0.01637,0.01464,0.01593,0.01249,0.01637,0.01593,0.01809,0.0155,0.00904,0.01163,0.00732,0.01163,0.00646,0.0056,0.0056,0.00517,0.00388,0.00474,0.00517,0.00474,0.0323
2004,24,Survey,27.910571473905726,0,0.00128,0.00513,0.02953,0.05777,0.09628,0.16945,0.13094,0.10141,0.0629,0.03081,0.04236,0.01284,0.01669,0.01027,0.0077,0.01027,0.0077,0.00899,0.00899,0.00642,0.00899,0.01284,0.01412,0.01155,0.01926,0.01669,0.01284,0.01027,0.01027,0.0077,0.00385,0.00385,0.00513,0.00128,0.00513,0.00642,0.00385,0.00513,0.00257,0.02054
2005,25,Fishery,41.84495190581536,0.00114,0.00114,0.00971,0.03826,0.06625,0.11879,0.08452,0.11079,0.07881,0.05997,0.03484,0.02627,0.01885,0.01713,0.01371,0.01428,0.00685,0.01428,0.01028,0.01199,0.01428,0.01656,0.01656,0.01599,0.01656,0.01371,0.01942,0.01656,0.01713,0.01199,0.01828,0.00514,0.01028,0.00742,0.008,0.00742,0.00457,0.004,0.004,0.00171,0.03255
