year,inits_rec_dev
1980,-0.01880022941
1981,-0.0697329463801
1982,-0.152542991556
1983,-0.124574875686
1984,-0.152542991556
1985,-0.148273569414
1986,-0.103762760913
1987,-0.0592664599196
1988,-0.0417456966159
1989,-0.0293342663812
1990,0.0655298533471
1991,-0.105369343293
1992,-0.28223176885
1993,2.33324844068
1994,2.02041811445
1995,0.430788527045
1996,0.136257510816
1997,1.38475669371
1998,0.106716839276
1999,0.834180223062
2000,0.129001661339
2001,0.192456696119
2002,0.149727613444
2003,-0.22760775162
2004,-0.385442447714
2005,0.0419339981551
2006,-0.097130688754
2007,0.00714024634689
2008,-0.928016835774
2009,0.285420095181
2010,-0.138735004317
2011,0.469180409653
2012,0.566364647489
2013,0.349805017285
2014,-0.448967807172
2015,-0.169286675728
2016,-1.42262349732
2017,-1.74624961284
2018,-1.42262349732
