age,inits_rinit
3,0.0405374218174
4,0.0442650418415
5,0.0482389177436
6,0.052350997958
7,0.0564424635349
8,0.0601823372231
9,0.063189595094
10,0.0660174557708
11,0.0543158576109
12,0.00467416429863
13,0.0405374218174
14,0.0442650418415
15,0.052350997958
16,0.0564424635349
17,0.0601823372231
18,0.063189595094
19,0.0660174557708
20,0.0543158576109
21,0.0482389177436
22,0.0442650418415
23,0.0482389177436
24,0.052350997958
25,0.0564424635349
26,0.0601823372231
27,0.063189595094
28,0.0660174557708
29,0.0543158576109
30,0.00467416429863
31,0.0405374218174
32,0.0442650418415
33,0.052350997958
34,0.0564424635349
35,0.0601823372231
36,0.063189595094
37,0.0660174557708
38,0.0543158576109
39,0.063189595094
40,0.0660174557708
41,0.0543158576109
