age,prop_fem,prop_mature
2,0.5739445780683708,0.01
3,0.5729392681114952,0.03
4,0.572247038138231,0.09
5,0.572180994280533,0.23
6,0.5728926096594931,0.44
7,0.5742365165974098,0.65
8,0.5757394423373007,0.81
9,0.5766817673902056,0.9
10,0.5762666639271642,0.95
11,0.5738197071582997,0.97
12,0.5689500864678617,0.98
13,0.5616207678830135,0.99
14,0.5521117189628599,0.99
15,0.5409023465396913,1
16,0.5285299192700781,1
17,0.5154848906627931,1
18,0.5021767887337342,1
19,0.48895997412850856,1
20,0.4761746719689338,1
21,0.4641563675666877,1
22,0.45319516404703236,1
23,0.44346502852293596,1
24,0.4349656000171166,1
25,0.42751398022911336,1
26,0.42079725882075386,1
27,0.41446609211400637,1
28,0.40823155882593437,1
29,0.40192848421918626,1
30,0.3955247934599521,1
31,0.3890780274896474,1
