"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",8.94280125683572,0.983233397222795
"2","Fishery CPUE",190.63265853839,20.9594724396945
"3","Survey CPUE",49.3867251760619,5.42991800644686
"4","Mark-recapture abundance",61.9184840163421,6.80774621304902
"5","Fishery ages",195.412667827816,21.4850197080974
"6","Survey ages",118.876890629757,13.0701472243761
"7","Fishery lengths",115.982016810046,12.7518647826065
"8","Survey lengths",168.37760716103,18.5125982285068
"9","Data likelihood",909.529851416279,100
"10","Fishing mortality penalty",1.49948495558058,0.164863742871732
"11","Recruitment likelihood",21.6063275809418,2.37554903198586
"12","SPR penalty",0.0000000000000000000000000000021570415377137,0.000000000000000000000000000000237160059601656
"13","Sum of catchability priors",5.56603779637218,0.611968676751511
"14","Total likelihood",938.201701749174,103.152381451609
