"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",20.3019513816749,1.00369770822933
"2","Fishery CPUE",303.814780318098,15.0201423005435
"3","Survey CPUE",100.983418018421,4.9924671441062
"4","Mark-recapture abundance",83.2449050638598,4.11550194676267
"5","Fishery ages",268.158869775969,13.2573681207044
"6","Survey ages",262.165612095868,12.9610705439219
"7","Fishery lengths",400.175290344825,19.7840598796652
"8","Survey lengths",583.870898584692,28.8656923560669
"9","Data likelihood",2022.71572558341,100
"10","Fishing mortality penalty",1.33060038036154,0.0657828662491741
"11","Recruitment likelihood",26.3534890160862,1.30287655762824
"12","SPR penalty",0.0000000000000000000000000000197215226305253,0.000000000000000000000000000000975002190425798
"13","Sum of catchability priors",10.9127496343053,0.539509803393544
"14","Total likelihood",2061.31256461416,101.908169227271
