"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",8.50578298887115,0.927907382722828
"2","Fishery CPUE",186.308377610882,20.3246331671569
"3","Survey CPUE",53.959381925344,5.88650203293422
"4","Mark-recapture abundance",65.3723590159238,7.1315591564291
"5","Fishery ages",198.504036173809,21.6550740721874
"6","Survey ages",116.7414292422,12.7354805789406
"7","Fishery lengths",117.047364028549,12.768855419006
"8","Survey lengths",170.224197583005,18.569988190623
"9","Data likelihood",916.662928568582,100
"10","Fishing mortality penalty",1.45614738455358,0.158853089742315
"11","Recruitment likelihood",20.4048920674519,2.22599730299067
"12","SPR penalty",0.0000000000000000000000000000021570415377137,0.0000000000000000000000000000002353145818913
"13","Sum of catchability priors",5.15147473956048,0.561981354215424
"14","Total likelihood",943.675442760148,102.946831746948
