"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",10.9113957610895,1.67937496000454
"2","Fishery CPUE",222.428220475692,34.2339689664001
"3","Survey CPUE",57.0727192064248,8.78407287511585
"4","Mark-recapture abundance",73.273362857298,11.2775169659493
"5","Fishery ages",143.551120443608,22.0939797650159
"6","Survey ages",81.453314083815,12.5364947873622
"7","Fishery lengths",114.856243608928,17.6775459107493
"8","Survey lengths",171.18763135156,26.3475203217809
"9","Data likelihood",649.729573260992,100
"10","Fishing mortality penalty",1.3853061202763,0.213212723768052
"11","Recruitment likelihood",15.9699134002038,2.45793235484894
"12","SPR penalty",0.000000000366189320630546,0.0000000000563602667480013
"13","Sum of catchability priors",7.14062876431207,1.09901550709371
"14","Total likelihood",1125.38242010492,173.20781851696
