"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",8.78350244879818,0.972318316105535
"2","Fishery CPUE",189.026956455336,20.9249525540184
"3","Survey CPUE",51.18598557539,5.66619883047624
"4","Mark-recapture abundance",63.1030013402639,6.98539157494809
"5","Fishery ages",195.494235844988,21.6408690397924
"6","Survey ages",112.862089862367,12.4936354041939
"7","Fishery lengths",114.539836242922,12.6793589859999
"8","Survey lengths",168.361071139275,18.6372752944655
"9","Data likelihood",903.35667890934,100
"10","Fishing mortality penalty",1.4797823574509,0.163809311648362
"11","Recruitment likelihood",15.8996497562247,1.76006334235786
"12","SPR penalty",0.00000000000000000000000000000308148791101958,0.00000000000000000000000000000034111530727154
"13","Sum of catchability priors",5.34880371992452,0.592103190777573
"14","Total likelihood",926.08491474294,102.515975844784
