"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",15.2804075704206,0.749178544502192
"2","Fishery CPUE",271.32452143206,13.3026890230146
"3","Survey CPUE",92.4933338951117,4.53482807604113
"4","Mark-recapture abundance",83.6906881833455,4.10324578533866
"5","Fishery ages",281.662537313695,13.8095485197624
"6","Survey ages",262.698989126825,12.8797903726866
"7","Fishery lengths",446.835323911663,21.907755801509
"8","Survey lengths",585.635819147866,28.7129638771454
"9","Data likelihood",2039.62162058099,100
"10","Fishing mortality penalty",1.39917885159919,0.0685999225287991
"11","Recruitment likelihood",24.9576115521529,1.22363929173509
"12","SPR penalty",0.0000000000000000000000000000021570415377137,0.000000000000000000000000000000105756946089798
"13","Sum of catchability priors",9.63525456265367,0.47240402167874
"14","Total likelihood",2075.61366554739,101.764643235943
