"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",12.4792354617108,1.06987826481664
"2","Fishery CPUE",216.284354194544,18.5426367090059
"3","Survey CPUE",48.2419586697925,4.13591226733036
"4","Mark-recapture abundance",89.262088340234,7.65267780068532
"5","Fishery ages",315.62695238691,27.0595436062698
"6","Survey ages",116.890170926855,10.021307285134
"7","Fishery lengths",194.663632813911,16.6890343833051
"8","Survey lengths",172.967999808384,14.829009683453
"9","Data likelihood",1166.41639260234,100
"10","Fishing mortality penalty",1.35288276981223,0.115986261715156
"11","Recruitment likelihood",16.3853206928672,1.40475740882813
"12","SPR penalty",0.0000000000000000369123530463043,0.00000000000000000316459484626676
"13","Sum of catchability priors",9.56321421575672,0.81987995679833
"14","Total likelihood",1193.71781028078,102.340623627342
