"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",10.1959282407357,1.04782025493912
"2","Fishery CPUE",193.597653930737,19.8957405650279
"3","Survey CPUE",52.1172681692934,5.35601349190534
"4","Mark-recapture abundance",75.5581408371551,7.76499682279056
"5","Fishery ages",188.46710866873,19.3684821224925
"6","Survey ages",146.059796281608,15.0103462247501
"7","Fishery lengths",116.446820416187,11.9670651042689
"8","Survey lengths",190.618091611831,19.5895354138255
"9","Data likelihood",973.060808156278,100
"10","Fishing mortality penalty",1.3967837799702,0.143545374375604
"11","Recruitment likelihood",17.2044838599875,1.76807900552341
"12","SPR penalty",0.000000000000113130758792778,0.0000000000000116262784241751
"13","Sum of catchability priors",5.67975709381165,0.583700118862403
"14","Total likelihood",997.341832890047,102.495324498761
