"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",14.8569795742904,0.726889299651764
"2","Fishery CPUE",267.374694793708,13.0815152347334
"3","Survey CPUE",101.378506375943,4.96002240097789
"4","Mark-recapture abundance",85.5264110024045,4.18444628562641
"5","Fishery ages",282.360105554081,13.8146881302156
"6","Survey ages",260.298243275187,12.7352943314471
"7","Fishery lengths",445.321194725598,21.7876863689259
"8","Survey lengths",586.796133239266,28.709457948422
"9","Data likelihood",2043.91226854048,100
"10","Fishing mortality penalty",1.37344955769867,0.0671970895638992
"11","Recruitment likelihood",23.5120995895914,1.15034778896752
"12","SPR penalty",0.0000000000000000000000000000021570415377137,0.00000000000000000000000000000010553493762499
"13","Sum of catchability priors",8.95947567257912,0.438349326949191
"14","Total likelihood",2077.75729336035,101.655894205481
