"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",15.96744613671,0.783785282242348
"2","Fishery CPUE",274.713538259171,13.4847129764374
"3","Survey CPUE",87.3797485273232,4.28916185314684
"4","Mark-recapture abundance",84.2269781090138,4.13440353857337
"5","Fishery ages",281.508976264755,13.818276919573
"6","Survey ages",262.032074382515,12.8622249054766
"7","Fishery lengths",447.87578919072,21.9846335371883
"8","Survey lengths",583.517440722743,28.6428009873621
"9","Data likelihood",2037.22199159295,100
"10","Fishing mortality penalty",1.40991215769668,0.0692075857964912
"11","Recruitment likelihood",25.6790375807313,1.26049285186894
"12","SPR penalty",0.0000000000000000000000000000021570415377137,0.00000000000000000000000000000010588151642851
"13","Sum of catchability priors",10.3201757544993,0.506580814319098
"14","Total likelihood",2074.63111708588,101.836281251985
