"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",15.3958508817814,0.756752852224485
"2","Fishery CPUE",271.894395583081,13.3644357133149
"3","Survey CPUE",92.5553285104416,4.54937563221883
"4","Mark-recapture abundance",83.6943369254337,4.11383097106425
"5","Fishery ages",280.406676721256,13.7828401964262
"6","Survey ages",261.691568451609,12.8629357577891
"7","Fishery lengths",443.450454905524,21.7969373142676
"8","Survey lengths",585.373608615755,28.7728915626947
"9","Data likelihood",2034.46222059488,100
"10","Fishing mortality penalty",1.39998924644356,0.0688137254293275
"11","Recruitment likelihood",18.0836865398068,0.88886814199573
"12","SPR penalty",0.00000000000000000000000000000308148791101958,0.0000000000000000000000000000001514644941462
"13","Sum of catchability priors",9.62504927295186,0.473100418160504
"14","Total likelihood",2063.57094565408,101.430782285586
