year,category,Mean,Lower_CI,Upper_CI
2022,Overall total lbs/pot,45.3922134164999,41.81991900477442,49.43026504927735
2023,Overall total lbs/pot,43.78365183896613,37.977270836068726,50.024350135890536
2022,all_retained,44.50635342294049,41.06345326156877,48.64224556058709
2022,some_released,55.43196001017312,44.55145549993152,66.48515403977827
2023,all_retained,41.826538523880146,36.611575419489206,48.68965567613252
2023,some_released,68.18233116703809,45.07474072831013,108.04533297713252
