Quantity,Value
Assessment year mark-recapture abundance estimate,3129633.0758888805
Assessment year available abundance,4154149.102021331
Forecasted available abundance,3503086.402937715
Forecasted spawning biomass,9453850.863852315
Forecasted exploitable abundance,2159630.763624068
Forecasted exploitable biomass,16086248.75289516
F_50,0.07168410451158012
ABC,910823.0107036193
Mortality from discards,24581.92369464692
