year,fsh_cpue,var,se,upper,lower,CPUE,cpue
1980,0.719098534,0.239,0.029698160743372035,0.7784948554867441,0.6597022125132559,Nominal,0.719
1981,0.979633273,0.443,0.029698160743372035,1.039029594486744,0.9202369515132559,Nominal,0.98
1982,1.240168011,0.71,0.029698160743372035,1.299564332486744,1.1807716895132558,Nominal,1.24
1983,1.521355737,1.069,0.029698160743372035,1.580752058486744,1.4619594155132558,Nominal,1.521
1984,1.304248047,0.785,0.029698160743372035,1.363644368486744,1.2448517255132558,Nominal,1.304
1985,1.879533855,1.631,0.029698160743372035,1.9389301764867442,1.820137533513256,Nominal,1.88
1986,1.580537188,1.153,0.029698160743372035,1.6399335094867442,1.521140866513256,Nominal,1.581
1987,1.704393996,1.341,0.029698160743372035,1.7637903174867442,1.644997674513256,Nominal,1.704
1988,1.579488313,1.152,0.029698160743372035,1.638884634486744,1.5200919915132558,Nominal,1.579
1989,1.155881048,0.617,0.029698160743372035,1.215277369486744,1.0964847265132558,Nominal,1.156
1990,1.401829404,0.907,0.029698160743372035,1.461225725486744,1.3424330825132558,Nominal,1.402
1991,1.267161542,0.741,0.029698160743372035,1.326557863486744,1.2077652205132559,Nominal,1.267
1992,1.468442433,0.996,0.029698160743372035,1.5278387544867442,1.409046111513256,Nominal,1.468
1993,1.587301587,1.163,0.029698160743372035,1.6466979084867441,1.527905265513256,Nominal,1.587
1994,0.992725,0.455,0.029698160743372035,1.052121321486744,0.9333286785132558,Nominal,0.993
1995,0.838343,0.324,0.029698160743372035,0.8977393214867441,0.7789466785132558,Nominal,0.838
1996,0.730465,0.246,0.029698160743372035,0.7898613214867442,0.6710686785132559,Nominal,0.73
1997,0.7268482000393113,0.211,0.02157920795243506,0.7700066159441814,0.6836897841344411,Nominal,0.727
1998,0.5241372978994769,0.103,0.00926019865612239,0.5426576952117217,0.5056169005872322,Nominal,0.524
1999,0.4919751352403652,0.066,0.007602259021821374,0.5071796532840079,0.4767706171967224,Nominal,0.492
2000,0.48083361965140775,0.073,0.007356040481684982,0.4955457006147777,0.4661215386880378,Nominal,0.481
2001,0.5299766041595182,0.08,0.00988166210566453,0.5497399283708473,0.5102132799481891,Nominal,0.53
2002,0.6454024382377597,0.107,0.0127817520651131,0.6709659423679859,0.6198389341075334,Nominal,0.645
2003,0.7905117887492167,0.157,0.016644760585476773,0.8238013099201702,0.7572222675782632,Nominal,0.791
2004,0.7250377519118917,0.104,0.012307530586113254,0.7496528130841182,0.7004226907396651,Nominal,0.725
2005,0.7329688478296665,0.202,0.017722800076746814,0.7684144479831602,0.6975232476761729,Nominal,0.733
2006,0.7395502423088873,0.139,0.01363677739328178,0.7668237970954509,0.7122766875223238,Nominal,0.74
2007,0.8537657899269318,0.247,0.022266445111883235,0.8982986801506982,0.8092328997031653,Nominal,0.854
2008,1.0020917404753535,1.571,0.05703261541333771,1.116156971302029,0.8880265096486781,Nominal,1.002
2009,0.8308646726197523,0.447,0.03465473663924886,0.90017414589825,0.7615551993412546,Nominal,0.831
2010,0.7831107337381207,0.258,0.026758150938890897,0.8366270356159025,0.7295944318603389,Nominal,0.783
2011,0.8977102908479121,0.232,0.029504469409319032,0.9567192296665502,0.838701352029274,Nominal,0.898
2012,0.9357747518229518,0.216,0.027120703617516756,0.9900161590579852,0.8815333445879183,Nominal,0.936
2013,0.8089528010178176,0.202,0.025372947461779552,0.8596986959413767,0.7582069060942586,Nominal,0.809
2014,0.9281719598680624,0.507,0.044344008602982446,1.0168599770740274,0.8394839426620976,Nominal,0.928
2015,0.7619501300555757,0.153,0.023372009136237153,0.80869414832805,0.7152061117831013,Nominal,0.762
2016,0.7613135824199005,0.263,0.031632899059644,0.8245793805391886,0.6980477843006125,Nominal,0.761
2017,0.7741316524290447,0.214,0.02895712639249917,0.832045905214043,0.7162173996440464,Nominal,0.774
2018,0.992025152210797,0.25,0.033064180841511984,1.058153513893821,0.9258967905277731,Nominal,0.992
2019,1.0848079799635018,6.66,0.15050710030814235,1.3858221805797863,0.7837937793472171,Nominal,1.085
2020,0.8177119711830216,0.259,0.02654392693005206,0.8707998250431257,0.7646241173229176,Nominal,0.818
2021,0.8339264420869628,0.369,0.032926091200458266,0.8997786244878793,0.7680742596860463,Nominal,0.834
2022,1.1330801457918545,0.456,0.040883987109107185,1.214848120010069,1.05131217157364,Nominal,1.133
2023,0.9259096638948984,0.371,0.03813595297397427,1.002181569842847,0.8496377579469498,Nominal,0.926
