age,probability
2,0.0738
3,0.0738
4,0.1719
5,0.3502
6,0.5285
7,0.7069
8,0.8223
9,0.8988
10,0.9404
11,0.9642
12,0.9771
13,0.9854
14,0.9904
15,0.9932
16,0.9949
17,0.9966
18,0.9974
19,0.998
20,0.9984
21,0.9987
22,0.999
23,0.9992
24,0.9993
25,0.9994
26,0.9995
27,0.9995
28,0.9996
29,0.9996
30,0.9997
31,0.9997
