"","pot_type","count","CPUE","var","sd","min_l","max_l","t","p.value","boot_lo","boot_hi","size_cat"
"1","Cone",19,2.98519214703425,4.29276070190909,2.0718978502593,0,520,1.7066119087102,0.101255999686676,2.26982317945828,4.15357749112609,"0 - 520"
"2","Slinky",18,5.02943121693122,21.7597201890015,4.66473152378586,0,520,1.7066119087102,0.101255999686676,3.5362926891303,8.4690016371624,"0 - 520"
"3","Cone",19,4.67481203007519,6.21218945732939,2.49242641964199,520,560,-0.165431032072702,0.869533040504983,3.78106420474946,6.01837466461733,"520 - 560"
"4","Slinky",19,4.54456975772765,5.56450946314198,2.35892124988139,520,560,-0.165431032072702,0.869533040504983,3.54828885816601,5.63926747821234,"520 - 560"
"5","Cone",19,5.7500208855472,4.05180458402768,2.01290948232345,560,600,-1.12335344935891,0.268800604675958,4.95562714303514,6.68811725703019,"560 - 600"
"6","Slinky",19,5.05131578947368,3.29855484261064,1.81619240242069,560,600,-1.12335344935891,0.268800604675958,4.3392042641197,5.92354950462799,"560 - 600"
"7","Cone",19,4.27307852965748,0.858363677233943,0.926479183378635,600,640,-3.02258156485702,0.00459755614830196,3.85804895060913,4.69636863197577,"600 - 640"
"8","Slinky",19,3.37295321637427,0.826650241859794,0.909203080647989,600,640,-3.02258156485702,0.00459755614830196,2.99554827732992,3.74863007814914,"600 - 640"
"9","Cone",19,4.02431077694236,3.62404794872248,1.90369323913347,640,1000,-2.7618274014788,0.0101820088116734,3.30318695631075,4.90908359076672,"640 - 1000"
"10","Slinky",19,2.66301169590643,0.991971556978867,0.995977688996529,640,1000,-2.7618274014788,0.0101820088116734,2.24141720487327,3.1115393210515,"640 - 1000"
"11","Cone",19,19.0473684210526,35.4015204678363,5.94991768580341,0,1000,-0.205791547351645,0.838204096220519,16.8668961278383,22.1935849562473,"0 - 1000"
"12","Slinky",19,18.5789473684211,63.0384210526316,7.93967386311501,0,1000,-0.205791547351645,0.838204096220519,15.6048276693071,22.4308474318133,"0 - 1000"
