year,fsh_cpue,sd,n,se,var,cv,upper,lower
1997,138.4734623523004,88.02609512913432,151,7.163462028678168,7748.593423683405,0.6356892767307336,152.80038640965674,124.14653829494407
1998,96.2962268406563,55.0647665907207,343,2.9732179265482643,3032.1285196905505,0.5718268347298561,102.24266269375283,90.34979098755977
1999,91.35144876268697,46.13257121612378,340,2.501889948566373,2128.2141270107322,0.5050009807284731,96.35522865981972,86.34766886555423
2000,90.41300241079517,49.27120913454625,378,2.53423754204777,2427.6520495801933,0.544957117015985,95.48147749489071,85.34452732669963
2001,106.05299594170235,89.46329621374886,260,5.54827810067404,8003.681369428971,0.843571607000401,117.14955214305043,94.95643974035427
2002,127.99938369194102,68.02069088672641,218,4.606942501730946,4626.814388707586,0.531414206262378,137.21326869540292,118.78549868847912
2003,145.80327798906825,88.20758158446355,184,6.502749188252993,7780.577448979793,0.604976669942064,158.80877636557423,132.79777961256227
2004,134.9512245240502,75.32448966019489,184,5.5529950509342285,5673.778742568807,0.5581608460823637,146.05721462591865,123.84523442218173
2005,128.74403961470847,71.3951816609333,179,5.336326422678099,5097.271964397668,0.5545513553450493,139.41669246006467,118.07138676935227
2006,128.3312407128047,68.61422446039849,206,4.780579543157509,4707.911798301946,0.5346650128159499,137.89239979911974,118.7700816264897
2007,211.77812212056233,267.10881992295754,149,21.882407153305905,71347.12168063497,1.2612672982854018,255.54293642717414,168.01330781395052
2008,232.257121567411,266.2127117929417,146,22.031920790064362,70869.20792015186,1.1461982736907181,276.3209631475397,188.19327998728227
2009,151.06026235427012,77.27871337179324,114,7.237814648131009,5971.999540399776,0.5115753949278691,165.53589165053214,136.5846330580081
2010,159.66288039423668,89.25950257716448,98,9.01657136537873,7967.258800322834,0.5590498076745611,177.69602312499416,141.6297376634792
2011,168.69694806741637,112.07873559348411,78,12.690417832846652,12561.642972234122,0.664379153727749,194.07778373310967,143.31611240172307
2012,185.5965181085208,84.64593954986285,80,9.463703742641563,7164.935082279036,0.45607504069860416,204.52392559380394,166.66911062323766
2013,159.66316161294085,86.25940666279367,89,9.143478819316778,7440.685237817212,0.5402586657522523,177.95011925157442,141.3762039743073
2014,160.61785175370653,79.88262512311552,75,9.224051023680941,6381.2337965602055,0.4973458694093889,179.06595380106842,142.16974970634465
2015,140.42747671534175,69.50224200666561,86,7.494619499435263,4830.561643953113,0.49493335373071234,155.41671571421227,125.43823771647124
2016,202.11078201352905,143.82246762978878,74,16.71902226027233,20684.902195121642,0.7116021530220069,235.5488265340737,168.6727374929844
2017,147.41080114652507,78.68610635631043,87,8.436036094218029,6191.503333516596,0.5337879296788918,164.28287333496112,130.53872895808902
2018,167.6587404502643,70.16349495174106,76,8.048304842638565,4922.916023842993,0.4184899323668422,183.75535013554145,151.56213076498716
2019,166.90480082123173,125.69114169423025,77,14.323834963344513,15798.263100399066,0.7530708588116374,195.55247074792075,138.2571308945427
2020,159.73806186920365,83.80831869893028,86,9.037283422823236,7023.834283141467,0.5246609212496519,177.81262871485012,141.66349502355718
2021,180.1566281917772,126.28905371599136,91,13.238690005443358,15948.925088480551,0.7009958777734024,206.63400820266392,153.67924818089048
2022,191.10006485519258,106.59705350151293,69,12.832777222209016,11362.931815204409,0.5578075213228608,216.76561929961062,165.43451041077455
