year,std_cpue,sd,se
1997,0.19207705484620868,0.0518,0.0078
1998,0.20436546856648793,0.0595,0.009
1999,0.1949358482237743,0.0612,0.0092
2000,0.17457196540958253,0.0723,0.0109
2001,0.24972311984117224,0.0767,0.0116
2002,0.21530610004023662,0.0586,0.0088
2003,0.2320784500011024,0.0535,0.0081
2004,0.2126169829604044,0.0548,0.0083
2005,0.25618311192640014,0.0659,0.0099
2006,0.2138287332860047,0.0541,0.0082
2007,0.22566793428921444,0.0562,0.0085
2008,0.2248532301392499,0.0716,0.0108
2009,0.2204055445062163,0.0497,0.0075
2010,0.21793299290006923,0.0597,0.009
2011,0.25388705059725103,0.0639,0.0096
2012,0.27114531636453104,0.0594,0.009
2013,0.21010868972634872,0.0612,0.0092
2014,0.20711234088044717,0.0498,0.0075
2015,0.18472056517318258,0.054,0.0081
2016,0.20228490713912275,0.0524,0.0081
2017,0.22757031247269469,0.0774,0.0119
2018,0.21402866395480255,0.0668,0.0103
2019,0.1920522258163907,0.0532,0.0084
2020,0.3574487567026676,0.0833,0.0129
2021,0.33592215949080106,0.0579,0.0092
2022,0.34964761742151207,0.0581,0.009
2023,0.32333815674698885,0.0506,0.0078
