model,year,P,mean,q025,q975
Model1,2005,6,1756606.6965714034,1509872.456883267,2053118.2389945686
Model1,2006,6,2243242.5502458364,1847763.0644621274,2747125.5076864017
Model1,2007,6,2715273.398781535,2204419.9781107106,3341659.3357324526
Model1,2008,6,1779722.0257193644,1487310.335307523,2136586.8399408716
Model1,2009,6,2455548.403096922,2035547.0460293822,2966002.5015301555
Model1,2010,6,2209410.2062222348,1853578.6311323887,2647251.86654732
Model1,2012,6,1860430.4933586044,1588248.6154171037,2188800.454417382
Model1,2013,6,1839452.040061278,1576172.2664237018,2154606.6669526887
Model1,2015,6,1750967.5778236247,1466540.471070514,2099409.202756231
Model1,2017,6,2106024.0469183335,1736817.0092497964,2557067.578008527
Model1,2018,6,2704444.8703573323,2257367.002604968,3236197.1535832896
