Source,Sex,year,mean,min,max,variable
LL fishery,Female,2002,14.283346487766376,2,68,Age
LL fishery,Female,2003,12.784256559766764,3,73,Age
LL fishery,Female,2004,13.965025906735752,3,70,Age
LL fishery,Female,2005,15.325581395348838,2,65,Age
LL fishery,Female,2006,13.308550185873607,3,51,Age
LL fishery,Female,2007,14.596348884381339,3,59,Age
LL fishery,Female,2008,14.955665024630543,3,58,Age
LL fishery,Female,2009,16.72657743785851,5,59,Age
LL fishery,Female,2010,16.081632653061224,2,57,Age
LL fishery,Female,2011,16.692056583242653,3,54,Age
LL fishery,Female,2012,14.244588744588745,3,55,Age
LL fishery,Female,2013,14.251524390243903,3,43,Age
LL fishery,Female,2014,15.234234234234235,4,47,Age
LL fishery,Female,2015,15.200531208499337,3,51,Age
LL fishery,Female,2016,15.612554112554113,2,54,Age
LL fishery,Female,2017,16.075903614457832,3,48,Age
LL fishery,Female,2018,16.162361623616235,3,51,Age
LL fishery,Female,2019,15.759006211180123,2,54,Age
LL fishery,Female,2020,13.303571428571429,3,49,Age
LL fishery,Female,2021,13.066265060240964,2,51,Age
LL fishery,Female,2022,12.157701711491443,3,47,Age
LL fishery,Male,2002,18.079766536964982,2,68,Age
LL fishery,Male,2003,15.962239583333334,3,60,Age
LL fishery,Male,2004,15.695201037613488,3,62,Age
LL fishery,Male,2005,15.807157057654075,3,64,Age
LL fishery,Male,2006,15.35702479338843,3,66,Age
LL fishery,Male,2007,16.750980392156862,3,61,Age
LL fishery,Male,2008,16.916827852998065,3,64,Age
LL fishery,Male,2009,19.826848249027236,4,62,Age
LL fishery,Male,2010,20.17153284671533,3,62,Age
LL fishery,Male,2011,20.462522851919562,3,64,Age
LL fishery,Male,2012,18.938333333333333,2,55,Age
LL fishery,Male,2013,18.839449541284402,3,63,Age
LL fishery,Male,2014,19.336898395721924,4,49,Age
LL fishery,Male,2015,18.736725663716815,4,56,Age
LL fishery,Male,2016,17.067729083665338,2,59,Age
LL fishery,Male,2017,18.79322033898305,2,55,Age
LL fishery,Male,2018,19.554671968190856,3,46,Age
LL fishery,Male,2019,20.660569105691057,2,60,Age
LL fishery,Male,2020,19.091976516634052,2,48,Age
LL fishery,Male,2021,17.405857740585773,3,56,Age
LL fishery,Male,2022,18.0062893081761,4,55,Age
LL survey,Female,1997,17.286259541984734,4,54,Age
LL survey,Female,1998,16.299492385786802,2,49,Age
LL survey,Female,1999,11.691275167785236,2,44,Age
LL survey,Female,2000,11.826291079812206,2,52,Age
LL survey,Female,2001,12.182320441988951,2,42,Age
LL survey,Female,2002,13.730897009966778,2,49,Age
LL survey,Female,2003,13.49742268041237,5,50,Age
LL survey,Female,2004,12.30632911392405,4,46,Age
LL survey,Female,2005,14.796844181459566,2,56,Age
LL survey,Female,2006,12.673860911270983,3,48,Age
LL survey,Female,2007,11.311926605504587,3,48,Age
LL survey,Female,2008,13.170588235294117,3,43,Age
LL survey,Female,2009,13.521857923497267,2,69,Age
LL survey,Female,2010,15.525,2,54,Age
LL survey,Female,2011,13.632876712328768,2,52,Age
LL survey,Female,2012,11.071253071253071,3,40,Age
LL survey,Female,2013,12.40234375,3,39,Age
LL survey,Female,2014,12.583916083916083,4,37,Age
LL survey,Female,2015,11.95221843003413,2,39,Age
LL survey,Female,2016,10.685534591194969,2,53,Age
LL survey,Female,2017,10.135446685878962,2,51,Age
LL survey,Female,2018,10.201729106628243,2,39,Age
LL survey,Female,2019,8.985130111524164,2,39,Age
LL survey,Female,2020,8.13262599469496,2,36,Age
LL survey,Female,2021,6.943243243243243,2,40,Age
LL survey,Female,2022,7.583577712609971,2,43,Age
LL survey,Male,1997,20.637037037037036,3,60,Age
LL survey,Male,1998,19.426751592356688,3,56,Age
LL survey,Male,1999,15.733727810650887,2,51,Age
LL survey,Male,2000,15.75916230366492,2,65,Age
LL survey,Male,2001,13.583333333333334,2,44,Age
LL survey,Male,2002,15.86723163841808,3,59,Age
LL survey,Male,2003,15.70959595959596,4,64,Age
LL survey,Male,2004,15.608695652173912,4,79,Age
LL survey,Male,2005,16.33423913043478,4,59,Age
LL survey,Male,2006,15.222570532915361,4,56,Age
LL survey,Male,2007,12.926253687315635,2,56,Age
LL survey,Male,2008,14.633699633699633,3,44,Age
LL survey,Male,2009,16.442687747035574,4,52,Age
LL survey,Male,2010,17.280701754385966,2,66,Age
LL survey,Male,2011,16.839228295819936,3,63,Age
LL survey,Male,2012,14.006269592476489,2,51,Age
LL survey,Male,2013,14.553571428571429,3,55,Age
LL survey,Male,2014,16.163636363636364,3,49,Age
LL survey,Male,2015,12.398009950248756,2,41,Age
LL survey,Male,2016,14.080168776371307,2,57,Age
LL survey,Male,2017,11.084,2,41,Age
LL survey,Male,2018,13.372093023255815,2,53,Age
LL survey,Male,2019,11.38888888888889,3,46,Age
LL survey,Male,2020,9.644351464435147,2,41,Age
LL survey,Male,2021,7.576086956521739,1,48,Age
LL survey,Male,2022,8.620578778135048,1,39,Age
Pot fishery,Female,2022,8.154440154440154,3,28,Age
Pot fishery,Male,2022,12.217948717948717,4,62,Age
LL fishery,Female,2002,70.16680032076985,49,107,Fork length
LL fishery,Female,2003,71.01174168297456,49,101,Fork length
