year,fsh_cpue,se,var,upper,lower,CPUE,cpue
1997,116.10754,6.605939,2.57,129.31942,104.11606,Fully Standardized,116.108
1998,93.51182,4.521651,2.126,102.55512,85.17192,Fully Standardized,93.512
1999,91.74054,4.348788,2.085,100.43812,83.70568,Fully Standardized,91.741
2000,86.86646,4.142825,2.035,95.15211,79.21145,Fully Standardized,86.866
2001,94.13667,4.68449,2.164,103.50565,85.51655,Fully Standardized,94.137
2002,111.7977,5.591558,2.365,122.98082,101.52951,Fully Standardized,111.798
2003,134.62462,6.951075,2.636,148.52677,121.91375,Fully Standardized,134.625
2004,127.41108,6.610212,2.571,140.63151,115.32308,Fully Standardized,127.411
2005,121.58628,6.315844,2.513,134.21796,110.03322,Fully Standardized,121.586
2006,116.21746,5.964616,2.442,128.14669,105.2914,Fully Standardized,116.217
2007,133.45329,7.279044,2.698,148.01138,120.20572,Fully Standardized,133.453
2008,154.44924,8.282143,2.878,171.01353,139.37029,Fully Standardized,154.449
2009,141.68175,8.101802,2.846,157.88536,127.00824,Fully Standardized,141.682
2010,147.19453,8.72653,2.954,164.64759,131.44933,Fully Standardized,147.195
2011,146.6556,9.393991,3.065,165.44358,129.83793,Fully Standardized,146.656
2012,170.81297,10.73588,3.277,192.28473,151.57931,Fully Standardized,170.813
2013,155.45524,9.739564,3.121,174.93436,137.98749,Fully Standardized,155.455
2014,151.13667,9.90567,3.147,170.94801,133.45083,Fully Standardized,151.137
2015,140.50216,8.796096,2.966,158.09435,124.71135,Fully Standardized,140.502
2016,174.79859,11.327313,3.366,197.45321,154.57446,Fully Standardized,174.799
2017,139.24695,8.757362,2.959,156.76168,123.53174,Fully Standardized,139.247
2018,161.21136,10.379929,3.222,181.97122,142.65392,Fully Standardized,161.211
2019,147.97255,9.598939,3.098,167.17043,130.81226,Fully Standardized,147.973
2020,140.01203,8.89406,2.982,157.80015,124.0688,Fully Standardized,140.012
2021,153.30958,9.684233,3.112,172.67805,135.95379,Fully Standardized,153.31
2022,165.13784,11.297927,3.361,187.7337,145.07656,Fully Standardized,165.138
