year,estimate,sd,q025,q975
2005,1.7275708293261414,0.1444460708505976,1.473441053074822,2.037728093834121
2006,2.172791794335783,0.2357391045443073,1.7619871071072726,2.6940979508356446
2007,2.7398747724446104,0.3120935981959541,2.1956704159340816,3.4180492574642365
2008,1.76978361277112,0.1631209833907762,1.4806833495683869,2.1206835344805652
2009,2.4763061418773735,0.2575875833231651,2.0219439278483957,3.0303660364662797
2010,2.1960929841457775,0.20215587181501504,1.8410621048652742,2.627559184937619
2012,1.8518010423667988,0.16559800462094515,1.5560663985855718,2.2010594761606037
2013,2.009979505530933,0.18233791750250344,1.685751086569661,2.3974125155911006
2015,1.8864978927771878,0.1943808670627948,1.5493904021692602,2.306430115381727
2017,2.0617200047632926,0.22226353196889678,1.6748834163447384,2.5361569948372273
2018,2.9451891116180566,0.3043362542892879,2.397142591081264,3.594937473391919
2019,3.5082204487622537,0.3645733612188001,2.862631412711671,4.297275980742608
2020,3.0692428975417108,0.32434231416794324,2.4932060268003107,3.773659169302832
2022,3.9252081067965365,0.37227742408571723,3.263707397743926,4.716382692755408
