year,sd,se,std_cpue
1997,0.0518,0.0078,0.19207705484620868
1998,0.0595,0.009,0.20436546856648793
1999,0.0612,0.0092,0.1949358482237743
2000,0.0723,0.0109,0.17457196540958253
2001,0.0767,0.0116,0.24972311984117224
2002,0.0586,0.0088,0.21530610004023662
2003,0.0535,0.0081,0.2320784500011024
2004,0.0548,0.0083,0.2126169829604044
2005,0.0659,0.0099,0.25618311192640014
2006,0.0541,0.0082,0.2138287332860047
2007,0.0562,0.0085,0.22566793428921444
2008,0.0716,0.0108,0.2248532301392499
2009,0.0497,0.0075,0.2204055445062163
2010,0.0597,0.009,0.21793299290006923
2011,0.0639,0.0096,0.25388705059725103
2012,0.0594,0.009,0.27114531636453104
2013,0.0612,0.0092,0.21010868972634872
2014,0.0498,0.0075,0.20711234088044717
2015,0.054,0.0081,0.18472056517318258
2016,0.0524,0.0081,0.20228490713912275
2017,0.0774,0.0119,0.22757031247269469
2018,0.0668,0.0103,0.21402866395480255
2019,0.0532,0.0084,0.1920522258163907
2020,0.0833,0.0129,0.3574487567026676
2021,0.0579,0.0093,0.33592215949080106
